"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","2","0","576.45","(2,0)","2","0","563.25","(2,0)"
"2","2","0","614.05","(2,0)","2","0","600.86","(2,0)"
"3","1","1","606.99","(1,1)","1","1","593.8","(1,1)"
"4","1","1","567.28","(1,1)","1","1","554.08","(1,1)"
"5","1","1","628.38","(1,1)","1","2","614.75","(1,2)"
"6","1","1","578.63","(1,1)","2","2","561.19","(2,2)"
"7","2","0","606.49","(2,0)","2","0","593.3","(2,0)"
"8","2","0","593.65","(2,0)","2","0","580.46","(2,0)"
"9","2","0","593.31","(2,0)","1","2","580.11","(1,2)"
"10","2","0","610.33","(2,0)","2","0","597.14","(2,0)"
"11","2","0","574.09","(2,0)","2","0","560.89","(2,0)"
"12","2","0","591.81","(2,0)","2","0","578.61","(2,0)"
"13","1","1","609.47","(1,1)","2","1","595.5","(2,1)"
"14","2","0","593.32","(2,0)","2","0","580.12","(2,0)"
"15","1","1","573.09","(1,1)","1","1","559.9","(1,1)"
"16","2","0","586.62","(2,0)","1","2","572.95","(1,2)"
"17","2","0","569.95","(2,0)","2","0","556.76","(2,0)"
"18","1","1","592.98","(1,1)","1","1","579.78","(1,1)"
"19","1","1","588.2","(1,1)","2","2","571.7","(2,2)"
"20","2","0","590.34","(2,0)","2","0","577.15","(2,0)"
"21","2","0","584","(2,0)","2","0","570.81","(2,0)"
"22","2","0","585.94","(2,0)","2","0","572.74","(2,0)"
"23","2","0","612.86","(2,0)","2","0","599.66","(2,0)"
"24","2","0","570.05","(2,0)","1","2","554.39","(1,2)"
"25","2","0","571.62","(2,0)","2","0","558.43","(2,0)"
"26","1","1","595.4","(1,1)","1","1","582.21","(1,1)"
"27","2","0","567.36","(2,0)","2","0","554.17","(2,0)"
"28","2","0","579.85","(2,0)","2","0","566.65","(2,0)"
"29","1","1","608.17","(1,1)","1","1","594.98","(1,1)"
"30","1","1","582.34","(1,1)","1","1","569.15","(1,1)"
"31","2","0","638.52","(2,0)","2","0","625.33","(2,0)"
