"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","2","0","1448.65","(2,0)","2","1","1427.91","(2,1)"
"2","2","2","1469.4","(2,2)","2","2","1444.11","(2,2)"
"3","2","0","1487.5","(2,0)","2","2","1469.14","(2,2)"
"4","1","2","1437.75","(1,2)","1","2","1416.67","(1,2)"
"5","1","2","1457.98","(1,2)","2","2","1436.47","(2,2)"
"6","2","1","1466.54","(2,1)","2","1","1445.47","(2,1)"
"7","1","2","1455.91","(1,2)","1","2","1434.84","(1,2)"
"8","2","2","1419.87","(2,2)","2","2","1394.59","(2,2)"
"9","2","2","1449.47","(2,2)","2","2","1424.18","(2,2)"
"10","2","0","1452.34","(2,0)","2","0","1435.48","(2,0)"
"11","2","0","1412.57","(2,0)","2","0","1395.71","(2,0)"
"12","2","0","1487.91","(2,0)","2","0","1471.05","(2,0)"
"13","2","2","1496.37","(2,2)","2","2","1471.08","(2,2)"
"14","1","2","1442.7","(1,2)","1","2","1421.63","(1,2)"
"15","2","1","1450.49","(2,1)","2","1","1429.42","(2,1)"
"16","1","2","1458.99","(1,2)","1","2","1437.92","(1,2)"
"17","2","2","1422.46","(2,2)","2","2","1397.17","(2,2)"
"18","2","0","1447.14","(2,0)","2","1","1427.7","(2,1)"
"19","2","2","1457.7","(2,2)","2","2","1432.42","(2,2)"
"20","2","2","1458.96","(2,2)","2","2","1433.67","(2,2)"
"21","2","2","1469.44","(2,2)","2","2","1444.15","(2,2)"
"22","1","2","1434.42","(1,2)","1","2","1413.34","(1,2)"
"23","2","2","1456.15","(2,2)","2","2","1430.86","(2,2)"
"24","1","2","1447.22","(1,2)","1","2","1426.15","(1,2)"
"25","2","2","1424.34","(2,2)","2","2","1399.05","(2,2)"
"26","2","0","1477.31","(2,0)","2","1","1459.68","(2,1)"
"27","2","2","1402.69","(2,2)","2","2","1377.41","(2,2)"
"28","2","2","1484.27","(2,2)","2","2","1458.98","(2,2)"
"29","1","2","1466.94","(1,2)","1","2","1445.87","(1,2)"
"30","2","2","1454.27","(2,2)","2","2","1428.98","(2,2)"
"31","1","2","1465.21","(1,2)","2","2","1444.08","(2,2)"
"32","2","2","1484","(2,2)","2","2","1458.71","(2,2)"
"33","2","0","1456.42","(2,0)","2","2","1433.88","(2,2)"
"34","2","2","1452.82","(2,2)","2","2","1427.53","(2,2)"
"35","2","2","1404.19","(2,2)","2","2","1378.91","(2,2)"
"36","2","2","1488.97","(2,2)","2","2","1463.68","(2,2)"
"37","1","2","1489.09","(1,2)","1","2","1468.01","(1,2)"
"38","2","0","1419.21","(2,0)","2","2","1397.82","(2,2)"
"39","2","2","1458.37","(2,2)","2","2","1433.08","(2,2)"
"40","2","2","1437.15","(2,2)","2","2","1411.86","(2,2)"
"41","1","2","1468.5","(1,2)","1","2","1447.43","(1,2)"
"42","2","2","1412.9","(2,2)","2","2","1387.62","(2,2)"
"43","1","2","1456.82","(1,2)","1","2","1435.75","(1,2)"
"44","2","0","1441.82","(2,0)","2","0","1424.96","(2,0)"
"45","2","0","1479.38","(2,0)","2","0","1462.52","(2,0)"
"46","2","2","1398.34","(2,2)","2","2","1373.05","(2,2)"
"47","1","2","1457.06","(1,2)","1","2","1435.99","(1,2)"
"48","2","0","1407.96","(2,0)","2","2","1385.45","(2,2)"
"49","2","2","1465.12","(2,2)","2","2","1439.83","(2,2)"
"50","1","2","1452.34","(1,2)","1","2","1431.27","(1,2)"
"51","2","2","1436.72","(2,2)","2","2","1411.43","(2,2)"
"52","2","2","1507.25","(2,2)","2","2","1481.96","(2,2)"
"53","2","2","1431.85","(2,2)","2","2","1406.56","(2,2)"
"54","2","2","1435.92","(2,2)","2","2","1410.63","(2,2)"
"55","1","2","1458.51","(1,2)","2","2","1434.02","(2,2)"
"56","2","2","1487.93","(2,2)","2","2","1462.64","(2,2)"
"57","2","0","1440.2","(2,0)","2","2","1422.13","(2,2)"
"58","2","2","1457.59","(2,2)","2","2","1432.3","(2,2)"
"59","1","2","1513.9","(1,2)","1","2","1492.82","(1,2)"
"60","2","1","1444.89","(2,1)","2","1","1423.82","(2,1)"
"61","2","2","1452.37","(2,2)","2","2","1427.08","(2,2)"
"62","2","2","1448.97","(2,2)","2","2","1423.68","(2,2)"
"63","1","2","1436.67","(1,2)","1","2","1415.6","(1,2)"
"64","2","1","1449.21","(2,1)","2","1","1428.14","(2,1)"
"65","2","2","1402.89","(2,2)","2","2","1377.6","(2,2)"
"66","2","2","1417.19","(2,2)","2","2","1391.9","(2,2)"
"67","2","2","1497.99","(2,2)","2","2","1472.7","(2,2)"
"68","2","2","1501.11","(2,2)","2","2","1475.82","(2,2)"
"69","2","2","1439.37","(2,2)","2","2","1414.08","(2,2)"
"70","2","2","1435.12","(2,2)","2","2","1409.83","(2,2)"
"71","1","2","1409.4","(1,2)","1","2","1388.32","(1,2)"
"72","2","0","1391.53","(2,0)","2","1","1373.2","(2,1)"
"73","1","2","1441.64","(1,2)","1","2","1420.57","(1,2)"
"74","2","0","1519.28","(2,0)","2","1","1498.77","(2,1)"
"75","1","2","1507.16","(1,2)","2","2","1486.05","(2,2)"
"76","2","2","1474.56","(2,2)","2","2","1449.27","(2,2)"
"77","2","2","1455.34","(2,2)","2","2","1430.05","(2,2)"
"78","1","2","1477.46","(1,2)","1","2","1456.39","(1,2)"
"79","2","2","1429.86","(2,2)","2","2","1404.57","(2,2)"
"80","2","2","1505.65","(2,2)","2","2","1480.36","(2,2)"
"81","1","2","1399.2","(1,2)","1","2","1378.13","(1,2)"
"82","2","2","1471.04","(2,2)","2","2","1445.75","(2,2)"
"83","2","2","1478.9","(2,2)","2","2","1453.61","(2,2)"
"84","2","2","1443.97","(2,2)","2","2","1418.69","(2,2)"
"85","2","2","1413.49","(2,2)","2","2","1388.21","(2,2)"
"86","2","2","1508.53","(2,2)","2","2","1483.24","(2,2)"
"87","2","0","1477.47","(2,0)","2","1","1460.35","(2,1)"
"88","2","0","1453.16","(2,0)","2","1","1434.16","(2,1)"
"89","2","2","1513.26","(2,2)","2","2","1487.97","(2,2)"
"90","2","0","1479.32","(2,0)","2","2","1454.18","(2,2)"
"91","2","0","1476.93","(2,0)","2","1","1458.23","(2,1)"
"92","2","2","1396.61","(2,2)","2","2","1371.33","(2,2)"
"93","1","2","1475.13","(1,2)","1","2","1454.06","(1,2)"
"94","2","2","1425.44","(2,2)","2","2","1400.16","(2,2)"
"95","2","0","1495.01","(2,0)","2","1","1477.91","(2,1)"
"96","2","0","1473.31","(2,0)","2","2","1451.09","(2,2)"
"97","2","0","1409.16","(2,0)","2","0","1392.31","(2,0)"
"98","2","2","1431.2","(2,2)","2","2","1405.91","(2,2)"
"99","1","2","1421.79","(1,2)","1","2","1400.72","(1,2)"
"100","1","2","1399.19","(1,2)","2","2","1375.92","(2,2)"
"101","2","1","1398.17","(2,1)","2","1","1377.1","(2,1)"
"102","2","0","1442.39","(2,0)","2","1","1423.55","(2,1)"
"103","2","0","1498.84","(2,0)","2","0","1481.98","(2,0)"
"104","2","2","1481.04","(2,2)","2","2","1455.76","(2,2)"
"105","2","2","1461.07","(2,2)","2","2","1435.78","(2,2)"
