"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"831","1","0","132.77","(1,0)","1","0","127.04","(1,0)"
"832","2","2","155.44","(2,2)","2","2","143.96","(2,2)"
"833","2","0","169.22","(2,0)","2","0","161.58","(2,0)"
"834","1","0","135.71","(1,0)","1","0","129.97","(1,0)"
"835","1","0","136.59","(1,0)","1","0","130.85","(1,0)"
"836","1","2","134.7","(1,2)","1","2","125.14","(1,2)"
"837","0","0","155.99","(0,0)","0","0","152.17","(0,0)"
"838","2","0","139.66","(2,0)","2","0","132.01","(2,0)"
"839","2","0","144.13","(2,0)","2","0","136.48","(2,0)"
"840","2","0","150.44","(2,0)","1","2","141.78","(1,2)"
"841","2","0","158.46","(2,0)","1","2","150.13","(1,2)"
"842","2","2","161.77","(2,2)","2","2","150.3","(2,2)"
"843","1","1","142.85","(1,1)","1","1","135.2","(1,1)"
"844","1","2","136.83","(1,2)","1","2","127.27","(1,2)"
"845","1","0","159.57","(1,0)","2","0","152.53","(2,0)"
"846","2","0","155.76","(2,0)","2","0","148.11","(2,0)"
"847","2","0","158.06","(2,0)","2","0","150.41","(2,0)"
"848","1","1","150.17","(1,1)","1","1","142.52","(1,1)"
"849","1","1","154.34","(1,1)","1","1","146.69","(1,1)"
"850","1","1","174.31","(1,1)","1","1","166.66","(1,1)"
"851","1","2","160.68","(1,2)","1","2","151.12","(1,2)"
"852","1","0","149.97","(1,0)","1","0","144.24","(1,0)"
"853","1","0","142.12","(1,0)","1","0","136.39","(1,0)"
"854","1","1","150.71","(1,1)","1","1","143.06","(1,1)"
"855","1","0","148.97","(1,0)","2","2","140.29","(2,2)"
"856","1","0","155.22","(1,0)","1","0","149.49","(1,0)"
"857","2","0","143.07","(2,0)","2","2","133.12","(2,2)"
"858","1","0","148.99","(1,0)","1","0","143.25","(1,0)"
"859","0","2","152.23","(0,2)","1","2","143.59","(1,2)"
"860","2","0","172.89","(2,0)","2","0","165.24","(2,0)"
"861","1","2","146.18","(1,2)","2","2","136.17","(2,2)"
"862","1","0","141.85","(1,0)","2","0","135.54","(2,0)"
"863","1","0","154.29","(1,0)","1","0","148.56","(1,0)"
"864","2","0","155.51","(2,0)","2","0","147.86","(2,0)"
"865","2","0","163.37","(2,0)","2","0","155.72","(2,0)"
"866","1","1","146.83","(1,1)","1","1","139.18","(1,1)"
"867","2","0","163.09","(2,0)","2","0","155.44","(2,0)"
"868","0","0","148.73","(0,0)","0","0","144.91","(0,0)"
"869","2","0","146.59","(2,0)","1","2","137.22","(1,2)"
"870","1","0","162.37","(1,0)","2","0","155.29","(2,0)"
"871","1","2","156.57","(1,2)","2","2","145.69","(2,2)"
"872","2","0","142.46","(2,0)","2","0","134.81","(2,0)"
"873","1","0","162.62","(1,0)","1","0","156.89","(1,0)"
"874","2","0","157.51","(2,0)","2","0","149.86","(2,0)"
"875","0","0","140.6","(0,0)","0","0","136.77","(0,0)"
"876","1","0","149.42","(1,0)","2","0","142.38","(2,0)"
"877","2","0","140.81","(2,0)","2","2","132.32","(2,2)"
"878","2","0","155.63","(2,0)","2","0","147.98","(2,0)"
"879","2","0","154.04","(2,0)","2","0","146.39","(2,0)"
"880","1","0","148.3","(1,0)","1","1","141.53","(1,1)"
"881","1","0","139.66","(1,0)","1","0","133.93","(1,0)"
"882","2","0","162.42","(2,0)","2","0","154.77","(2,0)"
"883","2","0","157.75","(2,0)","1","2","148.28","(1,2)"
"884","1","0","135.85","(1,0)","2","0","128.65","(2,0)"
"885","2","0","186.48","(2,0)","2","0","178.84","(2,0)"
"886","2","0","157.67","(2,0)","1","2","148.12","(1,2)"
"887","2","2","161.91","(2,2)","2","2","150.43","(2,2)"
"888","1","0","163.31","(1,0)","2","0","156.64","(2,0)"
"889","0","2","149.61","(0,2)","0","2","141.96","(0,2)"
"890","2","0","130.55","(2,0)","2","0","122.9","(2,0)"
"891","1","0","155.68","(1,0)","1","0","149.94","(1,0)"
"892","2","0","158.68","(2,0)","2","0","151.03","(2,0)"
"893","1","0","145.69","(1,0)","1","1","139.09","(1,1)"
"894","1","0","145.3","(1,0)","2","0","138.55","(2,0)"
"895","1","0","147.11","(1,0)","1","0","141.38","(1,0)"
"896","1","1","148.95","(1,1)","1","1","141.3","(1,1)"
"897","2","0","138.39","(2,0)","2","0","130.74","(2,0)"
"898","1","0","165.31","(1,0)","2","0","157.97","(2,0)"
"899","2","0","163.87","(2,0)","2","0","156.22","(2,0)"
"900","2","0","162.6","(2,0)","2","0","154.95","(2,0)"
"901","1","1","154.73","(1,1)","1","1","147.08","(1,1)"
"902","1","1","169.18","(1,1)","1","1","161.53","(1,1)"
"903","0","0","135.19","(0,0)","1","0","130.67","(1,0)"
"904","1","1","146.41","(1,1)","2","2","137.58","(2,2)"
"905","2","0","149.97","(2,0)","2","0","142.32","(2,0)"
"906","2","0","166.82","(2,0)","2","0","159.17","(2,0)"
"907","2","2","166.9","(2,2)","2","2","155.43","(2,2)"
"908","2","0","171.63","(2,0)","2","0","163.98","(2,0)"
"909","0","1","151.49","(0,1)","0","1","145.76","(0,1)"
"910","1","0","153.29","(1,0)","2","2","147.01","(2,2)"
"911","0","0","149.44","(0,0)","2","0","144.64","(2,0)"
"912","1","1","152.2","(1,1)","1","1","144.55","(1,1)"
"913","1","2","137.26","(1,2)","1","2","127.7","(1,2)"
"914","1","0","135.52","(1,0)","2","0","129.01","(2,0)"
"915","1","2","136.27","(1,2)","1","2","126.71","(1,2)"
"916","2","0","157.59","(2,0)","1","2","148.67","(1,2)"
"917","2","0","165.98","(2,0)","2","0","158.33","(2,0)"
"918","1","0","154.61","(1,0)","2","0","148.73","(2,0)"
"919","1","1","159.6","(1,1)","1","1","151.95","(1,1)"
"920","2","0","166.61","(2,0)","2","0","158.96","(2,0)"
"921","2","0","156.6","(2,0)","2","0","148.95","(2,0)"
"922","1","0","159.76","(1,0)","1","0","154.03","(1,0)"
"923","1","0","158.16","(1,0)","1","0","152.42","(1,0)"
"924","1","0","151.48","(1,0)","1","0","145.75","(1,0)"
"925","2","0","152.72","(2,0)","2","2","142.87","(2,2)"
"926","2","0","163.08","(2,0)","2","0","155.43","(2,0)"
"927","2","1","133.43","(2,1)","2","1","123.87","(2,1)"
"928","1","0","138.68","(1,0)","1","0","132.95","(1,0)"
"929","2","0","149.99","(2,0)","2","0","142.34","(2,0)"
"930","1","1","151.99","(1,1)","1","2","143.91","(1,2)"
"931","2","0","148.03","(2,0)","2","0","140.38","(2,0)"
"932","0","2","167.43","(0,2)","1","2","159.68","(1,2)"
"933","2","0","157.01","(2,0)","2","0","149.36","(2,0)"
"934","2","0","153.47","(2,0)","2","0","145.82","(2,0)"
"935","1","1","150.33","(1,1)","1","1","142.68","(1,1)"
