"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","1","1","1415.31","(1,1)","1","1","1398.45","(1,1)"
"2","1","2","1460.2","(1,2)","1","2","1439.13","(1,2)"
"3","1","1","1466.91","(1,1)","1","2","1446.12","(1,2)"
"4","1","1","1425.73","(1,1)","1","1","1408.87","(1,1)"
"5","2","0","1460.4","(2,0)","1","2","1441.11","(1,2)"
"6","1","1","1455","(1,1)","2","2","1435.82","(2,2)"
"7","2","0","1449.2","(2,0)","2","0","1432.34","(2,0)"
"8","2","0","1418.16","(2,0)","2","1","1398.02","(2,1)"
"9","1","1","1439.62","(1,1)","2","1","1421","(2,1)"
"10","2","0","1438.11","(2,0)","1","2","1417.48","(1,2)"
"11","2","0","1391.14","(2,0)","2","1","1373.34","(2,1)"
"12","2","0","1467.41","(2,0)","2","1","1448.15","(2,1)"
"13","2","2","1482.04","(2,2)","2","2","1456.75","(2,2)"
"14","2","0","1432.18","(2,0)","2","0","1415.32","(2,0)"
"15","1","1","1418.09","(1,1)","1","1","1401.23","(1,1)"
"16","2","0","1457.66","(2,0)","1","2","1438.18","(1,2)"
"17","1","1","1411.51","(1,1)","2","1","1393.92","(2,1)"
"18","1","1","1436.09","(1,1)","1","2","1416.49","(1,2)"
"19","2","0","1456.59","(2,0)","2","1","1435.55","(2,1)"
"20","2","1","1441.34","(2,1)","2","1","1420.27","(2,1)"
"21","2","0","1449.83","(2,0)","2","1","1429.05","(2,1)"
"22","2","0","1431.81","(2,0)","2","0","1414.95","(2,0)"
"23","2","0","1455.51","(2,0)","2","1","1437.81","(2,1)"
"24","1","1","1453.52","(1,1)","1","2","1436.49","(1,2)"
"25","2","0","1410.91","(2,0)","1","2","1393.24","(1,2)"
"26","1","1","1452.05","(1,1)","2","1","1431.67","(2,1)"
"27","2","0","1371.83","(2,0)","2","0","1354.97","(2,0)"
"28","1","1","1470.84","(1,1)","1","1","1453.98","(1,1)"
"29","1","1","1476.77","(1,1)","1","2","1458.79","(1,2)"
"30","1","1","1449.4","(1,1)","1","2","1431.47","(1,2)"
"31","2","1","1472.82","(2,1)","2","1","1451.75","(2,1)"
"32","2","1","1478.05","(2,1)","2","1","1456.98","(2,1)"
"33","1","2","1450.36","(1,2)","2","2","1427.74","(2,2)"
"34","2","0","1448.71","(2,0)","2","0","1431.86","(2,0)"
"35","1","1","1423.15","(1,1)","1","2","1405.76","(1,2)"
"36","1","1","1471.75","(1,1)","1","1","1454.89","(1,1)"
"37","1","1","1495.11","(1,1)","1","2","1478.1","(1,2)"
"38","1","2","1426.59","(1,2)","1","2","1405.51","(1,2)"
"39","1","1","1439.01","(1,1)","1","1","1422.15","(1,1)"
"40","1","1","1442.31","(1,1)","1","2","1423.17","(1,2)"
"41","1","1","1474.64","(1,1)","2","1","1455.68","(2,1)"
"42","2","0","1392.75","(2,0)","2","0","1375.89","(2,0)"
"43","1","2","1428.8","(1,2)","1","2","1407.73","(1,2)"
"44","2","0","1435.62","(2,0)","2","1","1414.92","(2,1)"
"45","1","2","1471.49","(1,2)","1","2","1450.42","(1,2)"
"46","1","1","1390.26","(1,1)","1","1","1373.41","(1,1)"
