"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","2","0","571.65","(2,0)","2","0","561.77","(2,0)"
"2","2","0","561.56","(2,0)","2","0","551.68","(2,0)"
"3","1","1","569.76","(1,1)","1","1","559.88","(1,1)"
"4","1","1","600.12","(1,1)","1","1","590.24","(1,1)"
"5","1","1","577.97","(1,1)","1","2","567.92","(1,2)"
"6","2","0","591.76","(2,0)","2","0","581.89","(2,0)"
"7","1","1","575.42","(1,1)","2","1","564.25","(2,1)"
"8","1","1","595.46","(1,1)","2","1","583","(2,1)"
"9","1","1","610.87","(1,1)","1","1","600.99","(1,1)"
"10","2","0","592.64","(2,0)","2","0","582.76","(2,0)"
"11","2","0","595.52","(2,0)","2","0","585.64","(2,0)"
"12","2","0","558.57","(2,0)","1","2","547.52","(1,2)"
"13","1","1","587.95","(1,1)","2","1","577.42","(2,1)"
"14","2","0","574.07","(2,0)","2","0","564.19","(2,0)"
"15","1","1","581.65","(1,1)","1","1","571.77","(1,1)"
"16","1","1","577.78","(1,1)","1","1","567.9","(1,1)"
"17","2","0","584.6","(2,0)","1","2","573.07","(1,2)"
"18","1","1","572.95","(1,1)","1","1","563.07","(1,1)"
"19","2","0","563.07","(2,0)","2","1","552.6","(2,1)"
"20","1","1","585.39","(1,1)","1","1","575.51","(1,1)"
"21","1","1","534.57","(1,1)","1","1","524.69","(1,1)"
"22","2","0","537.38","(2,0)","2","0","527.5","(2,0)"
"23","1","1","587.38","(1,1)","1","1","577.5","(1,1)"
"24","2","0","554.66","(2,0)","2","0","544.78","(2,0)"
"25","1","1","561.03","(1,1)","1","1","551.15","(1,1)"
"26","2","0","578.52","(2,0)","1","2","566.08","(1,2)"
"27","2","0","572","(2,0)","2","0","562.12","(2,0)"
"28","2","0","580.63","(2,0)","2","2","570","(2,2)"
"29","1","1","591.97","(1,1)","1","2","581.07","(1,2)"
"30","2","0","545.17","(2,0)","2","0","535.29","(2,0)"
"31","1","1","563.49","(1,1)","1","1","553.61","(1,1)"
"32","2","0","587.39","(2,0)","1","2","576.18","(1,2)"
"33","2","0","590.85","(2,0)","1","2","580.31","(1,2)"
"34","1","1","581.03","(1,1)","1","1","571.15","(1,1)"
"35","2","0","593.81","(2,0)","2","0","583.93","(2,0)"
"36","1","1","580.18","(1,1)","1","1","570.3","(1,1)"
"37","2","0","563.77","(2,0)","2","0","553.89","(2,0)"
"38","1","1","584.9","(1,1)","1","2","574.33","(1,2)"
"39","2","0","592.38","(2,0)","2","0","582.5","(2,0)"
"40","2","0","581.28","(2,0)","2","0","571.4","(2,0)"
"41","2","0","580.21","(2,0)","2","0","570.33","(2,0)"
"42","1","2","535.81","(1,2)","1","2","522.63","(1,2)"
"43","1","1","596.22","(1,1)","1","1","586.34","(1,1)"
"44","1","1","568.94","(1,1)","1","1","559.06","(1,1)"
"45","2","0","584.43","(2,0)","2","0","574.55","(2,0)"
"46","1","1","591.81","(1,1)","2","1","580.44","(2,1)"
"47","1","1","626.6","(1,1)","1","2","614.09","(1,2)"
"48","1","1","537.84","(1,1)","1","1","527.96","(1,1)"
"49","1","1","591.68","(1,1)","1","1","581.8","(1,1)"
"50","1","1","553.96","(1,1)","1","1","544.08","(1,1)"
"51","2","0","583.21","(2,0)","2","0","573.33","(2,0)"
"52","1","1","561.97","(1,1)","1","1","552.09","(1,1)"
"53","1","2","543.72","(1,2)","1","2","530.54","(1,2)"
"54","1","1","547.83","(1,1)","1","1","537.95","(1,1)"
"55","2","0","588.13","(2,0)","2","0","578.25","(2,0)"
"56","2","0","578.57","(2,0)","2","2","566.07","(2,2)"
"57","1","1","595.67","(1,1)","1","1","585.79","(1,1)"
"58","1","1","542.51","(1,1)","2","1","532.54","(2,1)"
"59","2","0","592.62","(2,0)","1","2","581.63","(1,2)"
"60","2","0","620.62","(2,0)","2","0","610.74","(2,0)"
"61","2","0","598.17","(2,0)","2","2","587.25","(2,2)"
"62","1","1","578.06","(1,1)","1","1","568.18","(1,1)"
"63","1","1","588.62","(1,1)","1","1","578.74","(1,1)"
"64","1","1","562.88","(1,1)","1","1","553","(1,1)"
"65","1","1","613.72","(1,1)","1","1","603.84","(1,1)"
"66","2","0","609.07","(2,0)","2","1","598.16","(2,1)"
"67","2","0","572.32","(2,0)","2","0","562.44","(2,0)"
"68","2","0","550.27","(2,0)","2","0","540.4","(2,0)"
"69","1","1","600.99","(1,1)","1","1","591.11","(1,1)"
"70","2","0","611.85","(2,0)","2","1","601.48","(2,1)"
"71","1","1","583.61","(1,1)","1","1","573.73","(1,1)"
"72","2","0","567.96","(2,0)","2","0","558.08","(2,0)"
