"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","1","1","139.3","(1,1)","2","1","133.32","(2,1)"
"2","2","0","134.51","(2,0)","1","2","127.91","(1,2)"
"3","1","2","149.16","(1,2)","1","2","141.59","(1,2)"
"4","1","2","152.38","(1,2)","1","2","144.81","(1,2)"
"5","2","2","143.24","(2,2)","2","2","133.78","(2,2)"
"6","2","0","164.34","(2,0)","1","2","157.62","(1,2)"
"7","2","0","145.51","(2,0)","2","0","139.83","(2,0)"
"8","1","1","154.1","(1,1)","1","1","148.42","(1,1)"
"9","2","0","131.39","(2,0)","2","0","125.72","(2,0)"
"10","2","0","137.75","(2,0)","2","0","132.08","(2,0)"
"11","1","2","169.22","(1,2)","2","2","161.12","(2,2)"
"12","2","0","141.77","(2,0)","2","0","136.1","(2,0)"
"13","1","2","157.4","(1,2)","2","2","149.65","(2,2)"
"14","1","1","155.13","(1,1)","1","2","148.35","(1,2)"
"15","2","0","150.24","(2,0)","2","2","141.52","(2,2)"
"16","2","0","147.93","(2,0)","2","2","141.62","(2,2)"
"17","2","2","162.87","(2,2)","2","2","153.41","(2,2)"
"18","1","1","152.83","(1,1)","2","1","145.28","(2,1)"
"19","1","1","166.2","(1,1)","2","2","160.04","(2,2)"
"20","1","2","153.19","(1,2)","1","2","145.63","(1,2)"
"21","1","2","134.57","(1,2)","1","2","127","(1,2)"
"22","2","0","131.5","(2,0)","2","2","124.63","(2,2)"
"23","2","0","144.67","(2,0)","2","0","139","(2,0)"
"24","1","2","147.79","(1,2)","1","2","140.23","(1,2)"
"25","1","2","142.39","(1,2)","1","2","134.83","(1,2)"
"26","2","0","149.41","(2,0)","2","0","143.74","(2,0)"
"27","2","0","148.96","(2,0)","1","2","141.84","(1,2)"
"28","1","2","150.25","(1,2)","1","2","142.68","(1,2)"
"29","2","0","163.75","(2,0)","2","0","158.07","(2,0)"
"30","2","0","149.69","(2,0)","1","2","143.06","(1,2)"
"31","2","0","145.29","(2,0)","2","0","139.61","(2,0)"
"32","2","0","149.04","(2,0)","2","0","143.37","(2,0)"
"33","2","0","149.13","(2,0)","2","0","143.45","(2,0)"
"34","2","0","141.22","(2,0)","2","0","135.54","(2,0)"
"35","2","0","155.66","(2,0)","2","0","149.99","(2,0)"
"36","1","1","150.43","(1,1)","1","1","144.75","(1,1)"
"37","1","2","153.13","(1,2)","1","2","145.56","(1,2)"
"38","2","0","155.29","(2,0)","2","0","149.61","(2,0)"
"39","1","1","165.6","(1,1)","2","1","159.17","(2,1)"
"40","2","0","154.03","(2,0)","2","0","148.35","(2,0)"
"41","2","0","160.19","(2,0)","2","0","154.52","(2,0)"
"42","2","0","141.59","(2,0)","2","0","135.92","(2,0)"
"43","2","0","155.71","(2,0)","2","0","150.03","(2,0)"
"44","1","1","149.89","(1,1)","1","2","142.55","(1,2)"
"45","2","0","159.76","(2,0)","2","0","154.09","(2,0)"
