"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","1","1","1407.13","(1,1)","1","1","1394.49","(1,1)"
"2","1","1","1431.51","(1,1)","2","1","1418.04","(2,1)"
"3","1","1","1419.95","(1,1)","2","1","1404.61","(2,1)"
"4","1","1","1418.28","(1,1)","2","1","1401.98","(2,1)"
"5","2","0","1410.95","(2,0)","1","2","1397.15","(1,2)"
"6","1","1","1448.13","(1,1)","2","1","1432.39","(2,1)"
"7","2","0","1407.41","(2,0)","2","1","1393.25","(2,1)"
"8","1","1","1488.12","(1,1)","2","1","1471.54","(2,1)"
"9","1","1","1472.89","(1,1)","1","2","1459.23","(1,2)"
"10","2","0","1418.22","(2,0)","2","1","1403.56","(2,1)"
"11","1","1","1429.98","(1,1)","2","2","1413.72","(2,2)"
"12","1","2","1442.24","(1,2)","1","2","1425.39","(1,2)"
"13","1","1","1418.78","(1,1)","2","1","1405.42","(2,1)"
"14","2","0","1408.25","(2,0)","2","0","1395.61","(2,0)"
"15","1","1","1420.84","(1,1)","1","2","1407.16","(1,2)"
"16","1","1","1409.12","(1,1)","1","2","1394.53","(1,2)"
"17","2","0","1436.86","(2,0)","2","1","1423.38","(2,1)"
"18","1","1","1449.93","(1,1)","2","1","1436.73","(2,1)"
"19","1","1","1412.86","(1,1)","2","1","1398.85","(2,1)"
"20","1","2","1414.99","(1,2)","1","2","1398.14","(1,2)"
"21","1","1","1419.29","(1,1)","1","2","1402.71","(1,2)"
"22","2","0","1416.8","(2,0)","2","1","1404.01","(2,1)"
"23","1","1","1461.7","(1,1)","1","1","1449.06","(1,1)"
"24","2","0","1380.5","(2,0)","2","1","1365.66","(2,1)"
"25","1","1","1425.1","(1,1)","1","1","1412.47","(1,1)"
"26","1","1","1443.44","(1,1)","2","1","1429.66","(2,1)"
"27","2","0","1425.62","(2,0)","2","0","1412.98","(2,0)"
"28","2","0","1418.34","(2,0)","2","1","1403.5","(2,1)"
"29","1","1","1461.86","(1,1)","2","1","1446.8","(2,1)"
"30","2","0","1427.31","(2,0)","2","0","1414.67","(2,0)"
"31","1","1","1413.05","(1,1)","1","1","1400.41","(1,1)"
"32","2","0","1454.66","(2,0)","1","2","1439.53","(1,2)"
"33","2","0","1487.04","(2,0)","1","2","1472.67","(1,2)"
"34","2","0","1425.07","(2,0)","2","2","1411.57","(2,2)"
"35","2","0","1443.59","(2,0)","2","0","1430.95","(2,0)"
"36","2","1","1420.78","(2,1)","2","1","1403.93","(2,1)"
"37","2","0","1382.47","(2,0)","2","1","1367.66","(2,1)"
"38","1","1","1428.88","(1,1)","1","2","1414.92","(1,2)"
"39","2","0","1457.02","(2,0)","2","2","1441.47","(2,2)"
"40","2","0","1428.41","(2,0)","2","0","1415.77","(2,0)"
"41","2","0","1386.44","(2,0)","2","1","1370.23","(2,1)"
"42","2","0","1417.97","(2,0)","2","0","1405.33","(2,0)"
"43","1","1","1448.15","(1,1)","1","2","1435.19","(1,2)"
"44","1","1","1446.67","(1,1)","2","1","1430.02","(2,1)"
"45","2","1","1393.26","(2,1)","2","1","1376.41","(2,1)"
"46","2","1","1407.06","(2,1)","2","1","1390.21","(2,1)"
"47","1","1","1492.99","(1,1)","2","1","1478.44","(2,1)"
"48","1","1","1430.3","(1,1)","1","1","1417.66","(1,1)"
"49","1","1","1430.19","(1,1)","1","1","1417.55","(1,1)"
"50","1","1","1405.72","(1,1)","1","1","1393.08","(1,1)"
"51","2","0","1391.09","(2,0)","2","0","1378.45","(2,0)"
"52","1","1","1453.34","(1,1)","1","1","1440.71","(1,1)"
"53","1","2","1383.54","(1,2)","1","2","1366.69","(1,2)"
"54","2","1","1409.17","(2,1)","2","1","1392.32","(2,1)"
"55","2","0","1443.3","(2,0)","2","1","1429.73","(2,1)"
"56","2","0","1464.32","(2,0)","2","1","1448.62","(2,1)"
"57","1","1","1454.49","(1,1)","2","1","1440.08","(2,1)"
"58","2","0","1383.49","(2,0)","2","1","1369.79","(2,1)"
"59","2","0","1437.69","(2,0)","1","2","1421.38","(1,2)"
"60","2","0","1490.29","(2,0)","2","1","1477.22","(2,1)"
"61","2","0","1446.05","(2,0)","1","2","1432.01","(1,2)"
"62","2","0","1405.58","(2,0)","1","2","1391.96","(1,2)"
