"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"980","1","1","159.98","(1,1)","2","2","154.07","(2,2)"
"981","2","0","152.04","(2,0)","2","0","146.37","(2,0)"
"982","1","1","135.27","(1,1)","1","1","129.6","(1,1)"
"983","0","0","133.78","(0,0)","1","1","128.87","(1,1)"
"984","2","0","161.92","(2,0)","2","0","156.25","(2,0)"
"985","2","0","160.3","(2,0)","1","2","154.26","(1,2)"
"986","1","1","150.17","(1,1)","1","1","144.49","(1,1)"
"987","1","0","137.89","(1,0)","1","1","133.61","(1,1)"
"988","0","0","139.8","(0,0)","1","0","136.22","(1,0)"
"989","1","1","140.9","(1,1)","2","2","134.65","(2,2)"
"990","1","0","143.57","(1,0)","2","2","136.55","(2,2)"
"991","1","2","149.92","(1,2)","1","2","142.35","(1,2)"
"992","0","2","146.01","(0,2)","0","2","140.34","(0,2)"
"993","2","0","152.58","(2,0)","2","1","146.03","(2,1)"
"994","2","0","135.12","(2,0)","2","2","126.74","(2,2)"
"995","1","0","152.17","(1,0)","1","1","147.67","(1,1)"
"996","1","0","141.81","(1,0)","1","0","138.02","(1,0)"
"997","2","0","140.61","(2,0)","2","0","134.93","(2,0)"
"998","1","1","158.55","(1,1)","1","1","152.88","(1,1)"
"999","1","0","139.36","(1,0)","1","0","135.58","(1,0)"
"1000","1","0","152.8","(1,0)","2","2","147.86","(2,2)"
