"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","2","0","1440.89","(2,0)","2","1","1424.36","(2,1)"
"2","1","2","1439.72","(1,2)","1","2","1422.87","(1,2)"
"3","2","2","1430.88","(2,2)","2","2","1409.81","(2,2)"
"4","2","0","1442.57","(2,0)","2","2","1424.26","(2,2)"
"5","1","2","1416.22","(1,2)","1","2","1399.37","(1,2)"
"6","2","2","1460.11","(2,2)","2","2","1439.05","(2,2)"
"7","1","2","1408.66","(1,2)","1","2","1391.81","(1,2)"
"8","2","0","1500.92","(2,0)","2","1","1487.39","(2,1)"
"9","2","2","1471.91","(2,2)","2","2","1450.85","(2,2)"
"10","2","2","1409.63","(2,2)","2","2","1388.57","(2,2)"
"11","2","2","1421.58","(2,2)","2","2","1400.51","(2,2)"
"12","2","0","1461.7","(2,0)","2","0","1449.06","(2,0)"
"13","2","2","1431.76","(2,2)","2","2","1410.7","(2,2)"
"14","1","2","1419.34","(1,2)","1","2","1402.49","(1,2)"
"15","2","2","1430.74","(2,2)","2","2","1409.68","(2,2)"
"16","2","2","1416.15","(2,2)","2","2","1395.09","(2,2)"
"17","2","2","1439.26","(2,2)","2","2","1418.19","(2,2)"
"18","2","1","1484.61","(2,1)","2","1","1467.76","(2,1)"
"19","2","2","1429.81","(2,2)","2","2","1408.75","(2,2)"
"20","2","0","1403.39","(2,0)","2","2","1382.78","(2,2)"
"21","2","0","1440.37","(2,0)","2","1","1425.44","(2,1)"
"22","1","2","1426.03","(1,2)","1","2","1409.18","(1,2)"
"23","2","2","1482.12","(2,2)","2","2","1461.06","(2,2)"
"24","2","2","1389.09","(2,2)","2","2","1368.03","(2,2)"
"25","2","2","1420.65","(2,2)","2","2","1399.59","(2,2)"
"26","2","0","1470.86","(2,0)","2","1","1457.9","(2,1)"
"27","1","2","1419.61","(1,2)","1","2","1402.76","(1,2)"
"28","2","0","1431.93","(2,0)","2","0","1419.29","(2,0)"
"29","2","0","1462.94","(2,0)","2","2","1446.29","(2,2)"
"30","1","2","1450.37","(1,2)","1","2","1433.52","(1,2)"
"31","2","2","1452.74","(2,2)","2","2","1431.68","(2,2)"
"32","2","0","1458.74","(2,0)","2","2","1443.98","(2,2)"
"33","2","2","1496.87","(2,2)","2","2","1475.81","(2,2)"
"34","2","2","1445.58","(2,2)","2","2","1424.52","(2,2)"
"35","1","2","1417.45","(1,2)","1","2","1400.6","(1,2)"
"36","2","2","1432.17","(2,2)","2","2","1411.11","(2,2)"
"37","2","2","1379.45","(2,2)","2","2","1358.39","(2,2)"
"38","2","1","1434.51","(2,1)","2","1","1417.66","(2,1)"
"39","1","2","1457.8","(1,2)","1","2","1440.95","(1,2)"
"40","2","2","1453.61","(2,2)","2","2","1432.55","(2,2)"
"41","2","2","1392.82","(2,2)","2","2","1371.76","(2,2)"
"42","2","2","1443.39","(2,2)","2","2","1422.33","(2,2)"
"43","2","1","1460.27","(2,1)","2","1","1443.42","(2,1)"
"44","2","1","1448.18","(2,1)","2","1","1431.33","(2,1)"
"45","1","2","1406.67","(1,2)","2","2","1388.59","(2,2)"
"46","1","2","1432.09","(1,2)","1","2","1415.24","(1,2)"
"47","2","2","1486.78","(2,2)","2","2","1465.72","(2,2)"
"48","2","1","1466.32","(2,1)","2","1","1449.47","(2,1)"
"49","2","2","1457.57","(2,2)","2","2","1436.51","(2,2)"
"50","2","2","1423.15","(2,2)","2","2","1402.09","(2,2)"
"51","2","2","1414.91","(2,2)","2","2","1393.85","(2,2)"
"52","2","2","1462.16","(2,2)","2","2","1441.1","(2,2)"
"53","2","0","1413.37","(2,0)","2","0","1400.73","(2,0)"
"54","2","0","1425.62","(2,0)","2","2","1407.69","(2,2)"
"55","2","0","1469.6","(2,0)","2","1","1456.66","(2,1)"
"56","2","0","1489.47","(2,0)","2","0","1476.83","(2,0)"
"57","2","0","1451.09","(2,0)","2","0","1438.45","(2,0)"
"58","2","2","1393.66","(2,2)","2","2","1372.6","(2,2)"
"59","2","2","1441.55","(2,2)","2","2","1420.48","(2,2)"
"60","2","2","1474.66","(2,2)","2","2","1453.6","(2,2)"
"61","2","2","1421.6","(2,2)","2","2","1400.53","(2,2)"
"62","2","2","1410.71","(2,2)","2","2","1389.65","(2,2)"
"63","2","0","1428.46","(2,0)","2","2","1408.04","(2,2)"
"64","2","2","1422.08","(2,2)","2","2","1401.02","(2,2)"
"65","2","0","1491.03","(2,0)","2","2","1473.76","(2,2)"
"66","2","0","1442.96","(2,0)","2","2","1426.58","(2,2)"
"67","2","2","1434.2","(2,2)","2","2","1413.13","(2,2)"
"68","2","0","1450.37","(2,0)","2","0","1437.73","(2,0)"
"69","2","2","1458.53","(2,2)","2","2","1437.47","(2,2)"
"70","1","2","1493.71","(1,2)","2","2","1474.08","(2,2)"
"71","2","1","1454.5","(2,1)","2","1","1437.64","(2,1)"
"72","1","2","1462.09","(1,2)","1","2","1445.24","(1,2)"
"73","2","0","1437.67","(2,0)","2","2","1417.74","(2,2)"
"74","2","1","1498.52","(2,1)","2","1","1481.67","(2,1)"
"75","2","2","1492.67","(2,2)","2","2","1471.61","(2,2)"
"76","2","0","1469.69","(2,0)","2","1","1453.65","(2,1)"
"77","2","2","1466.86","(2,2)","2","2","1445.8","(2,2)"
"78","2","1","1413.17","(2,1)","2","1","1396.32","(2,1)"
"79","2","0","1453.19","(2,0)","2","1","1440.43","(2,1)"
"80","2","0","1463.77","(2,0)","2","1","1449.55","(2,1)"
"81","1","2","1403.48","(1,2)","1","2","1386.63","(1,2)"
"82","2","1","1463.44","(2,1)","2","2","1443.87","(2,2)"
"83","2","2","1478.96","(2,2)","2","2","1457.9","(2,2)"
"84","2","2","1439.62","(2,2)","2","2","1418.55","(2,2)"
"85","1","2","1375.99","(1,2)","1","2","1359.14","(1,2)"
"86","2","2","1459.76","(2,2)","2","2","1438.7","(2,2)"
"87","2","2","1456.42","(2,2)","2","2","1435.36","(2,2)"
"88","1","2","1388.55","(1,2)","1","2","1371.7","(1,2)"
"89","2","0","1423.4","(2,0)","2","0","1410.76","(2,0)"
"90","1","2","1432.21","(1,2)","1","2","1415.36","(1,2)"
"91","1","2","1416.38","(1,2)","2","2","1397.97","(2,2)"
"92","2","2","1457.9","(2,2)","2","2","1436.83","(2,2)"
"93","1","2","1493.93","(1,2)","1","2","1477.08","(1,2)"
"94","2","0","1439.12","(2,0)","2","1","1424.76","(2,1)"
"95","1","2","1443.42","(1,2)","1","2","1426.57","(1,2)"
"96","2","0","1489.27","(2,0)","2","1","1473.03","(2,1)"
"97","2","0","1432.74","(2,0)","2","0","1420.11","(2,0)"
"98","2","2","1469.18","(2,2)","2","2","1448.11","(2,2)"
"99","2","1","1443.32","(2,1)","2","1","1426.47","(2,1)"
"100","2","0","1409.59","(2,0)","2","1","1396.94","(2,1)"
"101","2","0","1484.25","(2,0)","2","1","1468.87","(2,1)"
"102","1","2","1464.63","(1,2)","2","2","1447.6","(2,2)"
"103","1","2","1442.77","(1,2)","1","2","1425.92","(1,2)"
"104","2","2","1449.07","(2,2)","2","2","1428.01","(2,2)"
"105","2","2","1427.45","(2,2)","2","2","1406.38","(2,2)"
"106","2","0","1434.58","(2,0)","2","0","1421.95","(2,0)"
"107","2","0","1431.77","(2,0)","2","1","1417.65","(2,1)"
"108","2","0","1435.4","(2,0)","2","0","1422.76","(2,0)"
"109","2","2","1435.7","(2,2)","2","2","1414.64","(2,2)"
"110","2","2","1385.26","(2,2)","2","2","1364.2","(2,2)"
"111","2","2","1440.88","(2,2)","2","2","1419.82","(2,2)"
"112","2","0","1430.06","(2,0)","2","1","1413.79","(2,1)"
"113","2","2","1438.81","(2,2)","2","2","1417.75","(2,2)"
"114","2","2","1451.87","(2,2)","2","2","1430.81","(2,2)"
"115","2","2","1420.11","(2,2)","2","2","1399.05","(2,2)"
"116","2","2","1412.36","(2,2)","2","2","1391.29","(2,2)"
"117","2","2","1418.73","(2,2)","2","2","1397.67","(2,2)"
"118","2","0","1474.64","(2,0)","2","1","1459.33","(2,1)"
"119","2","0","1455.02","(2,0)","2","2","1434.33","(2,2)"
"120","2","0","1459.97","(2,0)","2","0","1447.33","(2,0)"
"121","2","1","1476.19","(2,1)","2","1","1459.33","(2,1)"
"122","2","0","1494.64","(2,0)","2","1","1479.31","(2,1)"
"123","1","2","1389.31","(1,2)","2","2","1371.75","(2,2)"
"124","2","2","1423.71","(2,2)","2","2","1402.65","(2,2)"
"125","2","0","1439.43","(2,0)","2","2","1420.43","(2,2)"
"126","2","2","1500.54","(2,2)","2","2","1479.48","(2,2)"
"127","2","2","1473.7","(2,2)","2","2","1452.64","(2,2)"
"128","1","2","1443.91","(1,2)","1","2","1427.05","(1,2)"
"129","2","0","1472.63","(2,0)","2","2","1456.91","(2,2)"
"130","1","2","1458.08","(1,2)","1","2","1441.23","(1,2)"
"131","2","0","1454.67","(2,0)","2","1","1438.56","(2,1)"
"132","2","0","1422.67","(2,0)","2","1","1405.86","(2,1)"
"133","1","2","1398.46","(1,2)","1","2","1381.61","(1,2)"
"134","2","1","1451.65","(2,1)","2","1","1434.8","(2,1)"
"135","2","2","1503.56","(2,2)","2","2","1482.5","(2,2)"
"136","2","2","1473.6","(2,2)","2","2","1452.54","(2,2)"
"137","1","2","1486.34","(1,2)","1","2","1469.49","(1,2)"
"138","2","1","1474.44","(2,1)","2","1","1457.59","(2,1)"
"139","2","0","1489.2","(2,0)","2","1","1473.3","(2,1)"
"140","2","2","1432.15","(2,2)","2","2","1411.09","(2,2)"
"141","2","0","1408.1","(2,0)","2","2","1393.56","(2,2)"
"142","2","2","1378.79","(2,2)","2","2","1357.73","(2,2)"
"143","2","0","1458.03","(2,0)","2","0","1445.39","(2,0)"
"144","2","2","1482.58","(2,2)","2","2","1461.52","(2,2)"
"145","2","2","1453.76","(2,2)","2","2","1432.7","(2,2)"
"146","2","2","1400.05","(2,2)","2","2","1378.99","(2,2)"
"147","2","0","1475.53","(2,0)","2","0","1462.89","(2,0)"
"148","2","2","1415.78","(2,2)","2","2","1394.71","(2,2)"
"149","2","2","1500.19","(2,2)","2","2","1479.13","(2,2)"
"150","2","0","1448.33","(2,0)","2","1","1432.73","(2,1)"
