"A" "B" "AMPL" "VAR" "VAR acu"
"1" -0.144812925315007 -0.0700534642672552 0.160867247114301 0.0570910895369037 0.0570910895369037
"2" -0.0797164518889252 -0.0229655459102791 0.082958598112049 0.0151829401599863 0.07227402969689
"3" -0.241532384400758 0.0234514539537467 0.242668216721639 0.129914871715239 0.202188901412129
"4" 0.0856606909820672 0.115962518664469 0.144170245593647 0.0458547518993955 0.248043653311525
"5" 0.00622192631891975 0.100097449683668 0.100290636653142 0.0221898235072913 0.270233476818816
"6" 0.0409076147265894 -0.055118255735074 0.0686400397573901 0.0103941295205385 0.280627606339355
"7" 0.0134716825040368 0.0689822172663249 0.0702853649664567 0.0108984034243339 0.291526009763689
"8" -0.0219342437460226 0.136557073702384 0.138307430844725 0.0422011319040298 0.333727141667718
"9" -0.0654916099791579 -0.00116039005546903 0.0655018891540005 0.00946543817040868 0.343192579838127
"10" 0.089367295150256 -0.145545707268813 0.170792465720394 0.0643532505364219 0.407545830374549
"11" -0.0059614028875464 -0.030716669923221 0.0312898088130905 0.00215992609062734 0.409705756465176
"12" -0.0753221748356582 0.177274517373904 0.192612783927039 0.0818470984991663 0.491552854964343
"13" -0.025182616205965 0.0127067970066767 0.0282068581934574 0.00175526422695677 0.493308119191299
"14" -0.1722803489264 0.0471870938913398 0.178625699315951 0.0703916192461663 0.563699738437466
"15" -0.0172719468868985 0.072991503319123 0.0750071976949505 0.0124119195532906 0.576111657990756
"16" 0.161702526534357 0.0455161391319519 0.167986386380188 0.0622560048497089 0.638367662840465
"17" 0.0846285182873501 -0.0221281569921931 0.0874736614037819 0.0168805923410817 0.655248255181547
"18" -0.0844839768575772 0.183853071124341 0.202335103497943 0.0903182560440135 0.745566511225561
"19" 0.0439414187784808 0.0583855295396032 0.0730733764368782 0.011780166294174 0.757346677519735
"20" -0.0604272392814278 -0.204165872553249 0.21292053626319 0.100015698896763 0.857362376416498
"21" 0.00621958027331225 -0.0169070956131855 0.0180148011604229 0.000715965370934385 0.858078341787432
"22" -0.00913660638023079 0.0240319337326707 0.025710142260959 0.00145828373155512 0.859536625518987
"23" -0.00400258051137977 -0.0542826822181379 0.0544300490496327 0.00653597711384095 0.866072602632828
"24" -0.13371996952933 -0.0596899949387169 0.146437446531647 0.0473083026158876 0.913380905248716
"25" -0.113429966441926 0.135733991812145 0.176890004862558 0.0690302838504397 0.982411189099156
"26" -0.104234312380559 -0.100397180452653 0.144721752754347 0.0462062473757372 1.02861743647489
"27" 0.0238645811197447 -0.177008186484017 0.178609675869986 0.0703789909880561 1.09899642746295
"28" -0.138189785243662 0.143772681649358 0.199416651095983 0.0877315714989815 1.18672799896193
"29" -0.0750328960562577 -0.0456472820009336 0.0878271589240021 0.0170173033194802 1.20374530228141
"30" -0.0706724835827258 0.0754365585436201 0.103369600466751 0.0235732111797098 1.22731851346112
"31" 0.0110609917505852 0.0165583632076869 0.0199129337523177 0.000874789515422199 1.22819330297654
"32" 0.00326169800886154 -0.0119234155211873 0.012361493097191 0.000337112559400522 1.22853041553594
"33" 0.097515625412671 -0.00681567026724992 0.0977535194293088 0.021081323662129 1.24961173919807
"34" 3.50800752696094 5.48107434918475 6.50755659449118 93.4262632764086 94.6758750156067
"35" -0.0902590356101535 0.0784344910335525 0.119577016574956 0.0315448523340872 94.7074198679408
"36" 0.0107020419003333 -0.114398485831726 0.114897986324514 0.0291244616409586 94.7365443295817
"37" 0.0232567518793414 -0.000465333982975779 0.0232614067436379 0.00119372701420154 94.7377380565959
"38" -0.106556453009178 0.0774941332830995 0.131755904502212 0.0382977486912301 94.7760358052872
"39" 0.18425883992379 0.0316525586524327 0.186957761431043 0.0771116631450043 94.8531474684322
"40" -0.10994596865007 0.154612969252714 0.189718966588854 0.0794062290531599 94.9325536974853
"41" -0.0472100019395731 0.0354110052217144 0.0590146047512544 0.00768337582912246 94.9402370733144
"42" -0.0879900209671478 -0.113669998017433 0.143746694706634 0.0455857186943759 94.9858227920088
"43" -0.0527548328671345 0.0275009958759546 0.0594926648000287 0.00780836158321831 94.993631153592
"44" -0.0412928298734967 0.12527252181044 0.131902625143356 0.0383830913391155 95.0320142449311
"45" 0.179135427679081 -0.0472504743217439 0.18526227023708 0.0757193774799596 95.1077336224111
"46" 0.170031475032673 -0.101622170635299 0.198085254540605 0.0865640101343349 95.1942976325454
"47" -0.160520490645979 -0.0966121407032588 0.187351897904698 0.0774371329716711 95.2717347655171
"48" -0.034861688664097 0.0792799094201303 0.0866062432748153 0.0165474650553315 95.2882822305724
"49" -0.0719705781085876 0.0949147260850016 0.119115781242769 0.0313019705441345 95.3195842011166
"50" -0.0300288685575229 0.0676247013228715 0.073992115633036 0.0120782485312646 95.3316624496479
"51" 0.0161579702297104 0.0063066806925225 0.0173451498495009 0.00066372653996931 95.3323261761878
"52" -0.0680023503055204 -0.0762124082297714 0.102140348615305 0.0230158884004608 95.3553420645883
"53" 0.0669975761297661 0.106799309721915 0.126074453258149 0.0350660831550453 95.3904081477433
"54" -0.0308529627858603 0.0430362050380169 0.0529530004507763 0.00618606128438443 95.3965942090277
"55" 0.128514082216275 0.07044806494415 0.146556470966883 0.0473852382974468 95.4439794473251
"56" -0.0464337541088976 0.110521620495753 0.119879615104708 0.0317047075289439 95.4756841548541
"57" 0.0857372022623883 0.106460359869469 0.136691902010757 0.0412210115112277 95.5169051663653
"58" -0.10318450744472 -0.0243092384434196 0.106009346995011 0.0247925609790075 95.5416977273443
"59" 0.120984884000536 -0.00197432057975103 0.121000992137977 0.0323006256143229 95.5739983529587
"60" 0.059037691314272 0.0509284410271505 0.0779689367708398 0.013411467311178 95.5874098202698
"61" -0.041136368109055 -0.0487810764302267 0.0638106119614543 0.00898294810503707 95.5963927683749
"62" 0.0261177254094995 -0.0112347149986875 0.0284315740272633 0.0017833429898372 95.5981761113647
"63" -0.0602394082653702 0.0336740530497078 0.069012521740308 0.0105072451559429 95.6086833565207
"64" 0.0625749819282102 0.102077921918629 0.119731075776265 0.0316261874515605 95.6403095439722
"65" -0.196259702253245 -0.0490483023395481 0.202295839529448 0.0902832061785574 95.7305927501508
"66" -0.0845834453050733 -0.0442453408783613 0.0954568457949387 0.0201023685521557 95.7506951187029
