01/03/1989 00:00	19189	 
01/04/1989 00:00	17990	 
01/05/1989 00:00	16608	 
01/06/1989 00:00	14435	 
01/07/1989 00:00	14714	 
01/08/1989 00:00	15096	 
01/09/1989 00:00	17625.25	 
01/10/1989 00:00	21005	 
01/11/1989 00:00	18363	 
01/12/1989 00:00	13484	 
01/01/1990 00:00	14555	 
01/02/1990 00:00	24686	 
01/03/1990 00:00	17308	 
01/04/1990 00:00	15000	 
01/05/1990 00:00	18708	 
01/06/1990 00:00	19779	 
01/07/1990 00:00	20685	 
01/08/1990 00:00	18509	 
01/09/1990 00:00	19136.55	 
01/10/1990 00:00	21404.55	 
01/11/1990 00:00	21221.55	 
01/12/1990 00:00	18703.55	 
01/01/1991 00:00	14122.94	 
01/02/1991 00:00	14213	 
01/03/1991 00:00	15171	 
01/04/1991 00:00	16120	 
01/05/1991 00:00	20019	 
01/06/1991 00:00	16846	 
01/07/1991 00:00	16494	 
01/08/1991 00:00	13579	 
01/09/1991 00:00	11512.55	 
01/10/1991 00:00	12357.55	 
01/11/1991 00:00	12320.64	 
01/12/1991 00:00	12296	 
01/01/1992 00:00	16409	 
01/02/1992 00:00	16339	 
01/03/1992 00:00	17417	 
01/04/1992 00:00	19272	 
01/05/1992 00:00	24371	 
01/06/1992 00:00	33050	 
01/07/1992 00:00	27298	 
01/08/1992 00:00	20330	 
01/09/1992 00:00	17848.04	 
01/10/1992 00:00	17908	 
01/11/1992 00:00	20552	 
01/12/1992 00:00	21642	 
01/01/1993 00:00	21636	 
01/02/1993 00:00	20249	 
01/03/1993 00:00	20770	 
01/04/1993 00:00	18551	 
01/05/1993 00:00	15859	 
01/06/1993 00:00	17881	 
01/07/1993 00:00	14348	 
01/08/1993 00:00	13176	 
01/09/1993 00:00	11419.36	 
01/10/1993 00:00	16213	 
01/11/1993 00:00	19823	 
01/12/1993 00:00	15760	 
01/01/1994 00:00	13501	 
01/02/1994 00:00	16756	 
01/03/1994 00:00	18527	 
01/04/1994 00:00	15190	 
01/05/1994 00:00	14235	 
01/06/1994 00:00	16159	 
01/07/1994 00:00	18866	 
01/08/1994 00:00	15172	 
01/09/1994 00:00	11490.45	 
01/10/1994 00:00	11605.16	 
01/11/1994 00:00	14939	 
01/12/1994 00:00	15520	 
01/01/1995 00:00	14817	 
01/02/1995 00:00	21207	 
01/03/1995 00:00	25932	 
01/04/1995 00:00	22333	 
01/05/1995 00:00	19004	 
01/06/1995 00:00	15397	 
01/07/1995 00:00	14086	 
01/08/1995 00:00	13295	 
