"Var1","Var2","Var3","Var4","BIC","AIC","NSE"
0,0,0,0,8989.18223542545,8985.05974261593,-0.466142489215435
1,0,0,0,8589.93633765937,8581.69135204034,0.398469470926202
2,0,0,0,8570.4056727176,8558.03819428905,0.431517988185342
3,0,0,0,8549.68808943993,8533.19811820187,0.464221334405015
0,1,0,0,8664.74413757239,8656.49915195337,0.291233962994922
1,1,0,0,8555.13723643193,8542.76975800339,0.450353763879625
2,1,0,0,8560.63717986618,8544.14720862812,0.451102476517713
3,1,0,0,8555.69522881059,8535.08276476301,0.464357975829269
0,2,0,0,8584.27206407449,8571.90458564595,0.413996747112957
1,2,0,0,8559.0134759928,8542.52350475475,0.453062000040597
2,2,0,0,8563.40218054343,8542.78971649586,0.455145783690271
3,2,0,0,8539.80649671802,8515.07153986093,0.492941082730864
0,3,0,0,8575.77179265182,8559.28182141377,0.432554268724274
1,3,0,0,8560.60843279973,8539.99596875215,0.458496337431165
2,3,0,0,8565.95062237732,8541.21566552024,0.459428976518535
3,3,0,0,8549.04264454673,8520.18519488013,0.486584057596746
0,0,1,0,8904.07450778367,8895.82952216465,-0.193936377974165
1,0,1,0,8470.63789047923,8458.27041205068,0.54651220848434
2,0,1,0,8452.95373550936,8436.4637642713,0.569709484813508
3,0,1,0,8443.00877490756,8422.39631085999,0.584441270961318
0,1,1,0,8573.51822866752,8561.15075023897,0.430810963234117
1,1,1,0,8443.24077799944,8426.75080676138,0.578722920676392
2,1,1,0,8448.65401684051,8428.04155279294,0.579373746876436
3,1,1,0,8448.59127675681,8423.85631989972,0.584934445061106
0,2,1,0,8487.63599177788,8471.14602053982,0.535060436329747
1,2,1,0,8447.72796657676,8427.11550252919,0.580199887049769
2,2,1,0,8452.13291750579,8427.3979606487,0.581750792881776
3,2,1,0,8454.3196241273,8425.4621744607,0.585288491838934
0,3,1,0,8467.90123695759,8447.28877291002,0.561144053096694
1,3,1,0,8450.75854754964,8426.02359069255,0.582971608851192
2,3,1,0,8456.87946139141,8428.02201172481,0.58297412146039
3,3,1,0,8452.65119619216,8419.67125371605,0.594629320509022
0,0,0,1,8802.68804518208,8794.44305956305,0.0694188588553352
1,0,0,1,8351.79404596038,8339.42656753184,0.664654461898467
2,0,0,1,8331.26717189527,8314.77720065721,0.684214604459737
3,0,0,1,8317.65986119725,8297.04739714968,0.699338464853957
0,1,0,1,8466.91321562787,8454.54573719932,0.563764258476229
1,1,0,1,8319.70053715084,8303.21056591278,0.692955888944834
2,1,0,1,8325.43708217474,8304.82461812717,0.69327258956869
3,1,0,1,8323.11298662604,8298.37802976895,0.699682524219752
0,2,0,1,8366.59599954647,8350.10602830841,0.6576225461064
1,2,0,1,8324.73610454086,8304.12364049329,0.693903454496977
2,2,0,1,8326.94775093362,8302.21279407653,0.697413818145223
3,2,0,1,8328.82720016678,8299.96975050017,0.699952641337746
0,3,0,1,8346.90128924081,8326.28882519324,0.676961810610354
1,3,0,1,8324.32747101121,8299.59251415412,0.699206624974123
2,3,0,1,8330.3804292232,8301.5229795566,0.699284144740244
3,3,0,1,8334.79875526103,8301.81881278492,0.699669570585883
0,0,1,1,8803.87112901725,8791.50365058871,0.0833768951800874
1,0,1,1,8357.67809247113,8341.18812123307,0.665515375610069
2,0,1,1,8337.1869793176,8316.57451527002,0.684792162082406
3,0,1,1,8322.82583591574,8298.09087905865,0.701422197626051
0,1,1,1,8468.90955979177,8452.41958855371,0.569530195248283
1,1,1,1,8325.31005330578,8304.69758925821,0.694091361030692
2,1,1,1,8331.01631998157,8306.28136312448,0.694486966506243
3,1,1,1,8328.37416096445,8299.51671129785,0.701676984196887
0,2,1,1,8370.55314297711,8349.94067892954,0.660287778603754
1,2,1,1,8330.22406468063,8305.48910782355,0.695332800936976
2,2,1,1,8337.55022703388,8308.69277736728,0.694101706327525
3,2,1,1,8333.96917704725,8300.98923457113,0.702070592271866
0,3,1,1,8352.22885176101,8327.49389490392,0.678223111547406
1,3,1,1,8329.83110973204,8300.97366006544,0.700737566972896
2,3,1,1,8335.93741775517,8302.95747527906,0.700721511572034
3,3,1,1,8339.85573164488,8302.75329635925,0.701847219230337
