"Var1","Var2","Var3","Var4","BIC","AIC","NSE"
0,0,0,0,9112.27759914196,9108.14203425088,-0.456971923805919
1,0,0,0,8703.1713233146,8694.90019353244,0.408072652298741
2,0,0,0,8683.81389994069,8671.40720526744,0.439985028469932
3,0,0,0,8663.31662588574,8646.77436632141,0.471556582021993
0,1,0,0,8781.32164126051,8773.05051147835,0.298985236250699
1,1,0,0,8668.57182326478,8656.16512859154,0.458272970798433
2,1,0,0,8673.91791181281,8657.37565224849,0.459197676423669
3,1,0,0,8669.37205712069,8648.69423266528,0.471649061497326
0,2,0,0,8700.33252379503,8687.92582912179,0.419613898969886
1,2,0,0,8672.0986005628,8655.55634099848,0.461334254099027
2,2,0,0,8676.66533275567,8655.98750830026,0.463167063392918
3,2,0,0,8653.53442272852,8628.72103338203,0.49898718297848
0,3,0,0,8690.12122744467,8673.57896788034,0.439864946650872
1,3,0,0,8674.276296956,8653.59847250059,0.465952903348308
2,3,0,0,8679.77247399597,8654.95908464948,0.466694731791081
3,3,0,0,8662.40294248793,8633.45398825035,0.493665702908568
0,0,1,0,9030.11692562873,9021.84579584657,-0.197367206622434
1,0,1,0,8585.13600668094,8572.7293120077,0.550850318992388
2,0,1,0,8567.13891299037,8550.59665342605,0.573849822488436
3,0,1,0,8557.31156467449,8536.63374021908,0.588160108444255
0,1,1,0,8691.41159416583,8679.00489949259,0.43380647358914
1,1,1,0,8557.26495713355,8540.72269756922,0.582810563538156
2,1,1,0,8562.51094217048,8541.83311771507,0.583609198703574
3,1,1,0,8563.07123796762,8538.25784862113,0.588494708386037
0,2,1,0,8604.78552425225,8588.24326468793,0.537031596054548
1,2,1,0,8561.52770518572,8540.84988073032,0.584464497832514
2,2,1,0,8566.16778518136,8541.35439583487,0.585781910218779
3,2,1,0,8568.86758338372,8539.91862914615,0.588789598652738
0,3,1,0,8582.66483904441,8561.987014589,0.564961504797911
1,3,1,0,8565.12810346512,8540.31471411863,0.586678069268409
2,3,1,0,8571.25563984262,8542.30668560505,0.586687718449341
3,3,1,0,8572.8887033016,8539.80418417295,0.590758370145905
0,0,0,1,8931.3695038985,8923.09837411634,0.0606521520629667
1,0,0,1,8469.8711543974,8457.46445972415,0.662914828272739
2,0,0,1,8449.76772670274,8433.22546713841,0.681988022859509
3,0,0,1,8436.07674867378,8415.39892421837,0.696750221282459
0,1,0,1,8586.56644003067,8574.15974535742,0.564069562756459
1,1,0,1,8437.82708817932,8421.284828615,0.690867735681127
2,1,0,1,8443.24564075607,8422.56781630067,0.691424609689686
3,1,0,1,8441.70266921527,8416.88927986878,0.696976624948248
0,2,0,1,8488.25006469478,8471.70780513046,0.654300731085508
1,2,0,1,8442.17475934547,8421.49693489006,0.692302680750879
2,2,0,1,8444.84107391882,8420.02768457233,0.695045496202821
3,2,0,1,8447.63538912047,8418.68643488289,0.697111440376433
0,3,0,1,8465.63543165512,8444.95760719971,0.675238374310363
1,3,0,1,8443.22861203646,8418.41522268997,0.696102293092606
2,3,0,1,8449.25051635443,8420.30156211686,0.696190703302384
3,3,0,1,8457.04110900029,8423.95658987163,0.695133882990826
0,0,1,1,8930.59022752409,8918.18353285085,0.0816894775954781
1,0,1,1,8475.77605211903,8459.2337925547,0.663605915009983
2,0,1,1,8455.70649663054,8435.02867217514,0.682442987001185
3,0,1,1,8441.28719608166,8416.47380673516,0.698257334167334
0,1,1,1,8587.45616926423,8570.9139096999,0.57170569137545
1,1,1,1,8443.46048514259,8422.78266068718,0.691746492786046
2,1,1,1,8448.84133788659,8424.0279485401,0.692381513215934
3,1,1,1,8447.00118291981,8418.05222868223,0.698403097269822
0,2,1,1,8491.83654985579,8471.15872540038,0.657353533118133
1,2,1,1,8447.66122800335,8422.84783865686,0.693466703481846
2,2,1,1,8454.9375462392,8425.98859200163,0.693463887484474
3,2,1,1,8452.83594857751,8419.75142944886,0.698629167694829
0,3,1,1,8470.91915500904,8446.10576566255,0.676470327283434
1,3,1,1,8448.75068113159,8419.80172689401,0.69720423397275
2,3,1,1,8454.84404558328,8421.75952645463,0.697199770559551
3,3,1,1,8458.38207148466,8421.16198746492,0.698810126162465
