"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"215","1","2","157.86","(1,2)","1","2","148.3","(1,2)"
"216","2","0","159.28","(2,0)","2","1","151.38","(2,1)"
"217","1","2","161.89","(1,2)","1","2","152.33","(1,2)"
"218","1","1","154.04","(1,1)","1","1","146.4","(1,1)"
"219","2","2","158.81","(2,2)","2","2","147.34","(2,2)"
"220","2","0","149.98","(2,0)","2","0","142.33","(2,0)"
"221","1","1","155.53","(1,1)","1","1","147.88","(1,1)"
"222","2","0","181.98","(2,0)","2","0","174.33","(2,0)"
"223","1","2","166.71","(1,2)","2","2","156.94","(2,2)"
"224","2","0","161.22","(2,0)","2","0","153.58","(2,0)"
"225","2","0","150.22","(2,0)","2","0","142.57","(2,0)"
"226","2","0","133.31","(2,0)","1","2","125.58","(1,2)"
"227","1","2","150.11","(1,2)","1","2","140.55","(1,2)"
"228","2","0","170.09","(2,0)","1","2","161.49","(1,2)"
"229","2","0","176.1","(2,0)","2","2","166.89","(2,2)"
"230","1","2","156.21","(1,2)","1","2","146.65","(1,2)"
"231","1","2","140.98","(1,2)","1","2","131.42","(1,2)"
"232","2","0","155.68","(2,0)","2","0","148.03","(2,0)"
"233","1","1","143.16","(1,1)","1","1","135.52","(1,1)"
"234","2","0","157.92","(2,0)","1","2","150","(1,2)"
"235","2","2","160.9","(2,2)","2","2","149.42","(2,2)"
"236","2","0","175.72","(2,0)","2","2","165.32","(2,2)"
"237","2","2","164.04","(2,2)","2","2","152.57","(2,2)"
"238","1","2","148.1","(1,2)","2","2","137.04","(2,2)"
"239","2","0","155.57","(2,0)","2","0","147.92","(2,0)"
"240","2","0","145.8","(2,0)","1","2","137.53","(1,2)"
"241","1","1","147.28","(1,1)","1","1","139.63","(1,1)"
"242","2","0","161.18","(2,0)","2","0","153.53","(2,0)"
"243","2","0","146.52","(2,0)","2","2","137.53","(2,2)"
"244","2","0","165.45","(2,0)","1","2","157.19","(1,2)"
"245","1","2","164.51","(1,2)","1","2","154.95","(1,2)"
"246","1","2","150.01","(1,2)","1","2","140.45","(1,2)"
"247","2","1","162.08","(2,1)","2","1","152.52","(2,1)"
"248","2","0","149.92","(2,0)","2","0","142.27","(2,0)"
"249","2","0","154.8","(2,0)","2","0","147.15","(2,0)"
"250","2","0","162.28","(2,0)","2","2","153.29","(2,2)"
"251","2","0","159.05","(2,0)","2","0","151.4","(2,0)"
"252","2","0","173.67","(2,0)","2","0","166.02","(2,0)"
"253","2","0","163.36","(2,0)","1","2","155.66","(1,2)"
"254","1","2","149.62","(1,2)","1","2","140.06","(1,2)"
"255","2","0","154.44","(2,0)","2","0","146.79","(2,0)"
"256","1","2","155.38","(1,2)","1","2","145.82","(1,2)"
"257","2","0","145.41","(2,0)","2","0","137.76","(2,0)"
"258","2","2","150.42","(2,2)","2","2","138.95","(2,2)"
"259","1","1","159.6","(1,1)","1","1","151.95","(1,1)"
"260","0","2","159.07","(0,2)","2","2","149.97","(2,2)"
"261","2","0","152.46","(2,0)","2","0","144.82","(2,0)"
"262","2","0","162.42","(2,0)","2","0","154.77","(2,0)"
"263","2","0","163.74","(2,0)","2","0","156.09","(2,0)"
"264","2","0","158.44","(2,0)","1","2","150.31","(1,2)"
"265","2","0","159.89","(2,0)","2","2","148.8","(2,2)"
"266","2","0","152.53","(2,0)","1","2","144.41","(1,2)"
"267","2","0","137.46","(2,0)","2","0","129.81","(2,0)"
"268","2","0","179.67","(2,0)","2","1","171.66","(2,1)"
"269","2","0","137.17","(2,0)","2","0","129.52","(2,0)"
"270","1","2","181.62","(1,2)","1","2","172.06","(1,2)"
"271","2","0","166.27","(2,0)","2","0","158.62","(2,0)"
"272","2","0","149.74","(2,0)","2","0","142.09","(2,0)"
"273","1","1","173.74","(1,1)","1","1","166.09","(1,1)"
