"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"538","1","1","605.95","(1,1)","1","2","595.76","(1,2)"
"539","1","2","554.34","(1,2)","1","2","541.17","(1,2)"
"540","1","2","597.46","(1,2)","1","2","584.29","(1,2)"
"541","2","0","561.37","(2,0)","2","0","551.49","(2,0)"
"542","2","2","601.3","(2,2)","2","2","584.83","(2,2)"
"543","1","2","544.23","(1,2)","1","2","531.05","(1,2)"
"544","2","0","554.11","(2,0)","2","0","544.23","(2,0)"
"545","2","0","584.7","(2,0)","2","2","570.51","(2,2)"
"546","2","2","560.95","(2,2)","2","2","544.48","(2,2)"
"547","2","0","586.04","(2,0)","2","2","572.57","(2,2)"
"548","1","2","564.72","(1,2)","1","2","551.54","(1,2)"
"549","2","2","560.84","(2,2)","2","2","544.37","(2,2)"
"550","2","0","625.28","(2,0)","1","2","612.63","(1,2)"
"551","2","0","593.03","(2,0)","1","2","582.14","(1,2)"
"552","2","0","557.21","(2,0)","2","0","547.33","(2,0)"
"553","1","2","527.98","(1,2)","1","2","514.81","(1,2)"
"554","2","0","579.09","(2,0)","2","0","569.21","(2,0)"
"555","2","0","617.53","(2,0)","1","2","607.19","(1,2)"
"556","1","1","610.93","(1,1)","2","1","599.06","(2,1)"
"557","1","2","605.67","(1,2)","1","2","592.5","(1,2)"
"558","2","0","586.01","(2,0)","2","0","576.13","(2,0)"
"559","2","0","589.87","(2,0)","1","2","577.93","(1,2)"
"560","1","2","590.01","(1,2)","2","2","575","(2,2)"
"561","2","0","539.74","(2,0)","2","0","529.86","(2,0)"
"562","2","0","606.84","(2,0)","2","0","596.96","(2,0)"
"563","2","0","554.9","(2,0)","1","2","544.82","(1,2)"
"564","2","0","594.38","(2,0)","2","2","582.84","(2,2)"
"565","2","2","585.66","(2,2)","2","2","569.19","(2,2)"
"566","1","2","598.34","(1,2)","1","2","585.17","(1,2)"
"567","1","2","586.57","(1,2)","2","2","571.63","(2,2)"
"568","1","1","572.85","(1,1)","2","1","561.28","(2,1)"
"569","2","0","590.63","(2,0)","2","0","580.75","(2,0)"
"570","2","0","572.6","(2,0)","2","0","562.72","(2,0)"
"571","1","2","561.2","(1,2)","1","2","548.03","(1,2)"
"572","1","2","584.74","(1,2)","1","2","571.57","(1,2)"
"573","2","2","594.58","(2,2)","2","2","578.11","(2,2)"
"574","2","0","544.61","(2,0)","2","1","534.69","(2,1)"
"575","1","2","574.3","(1,2)","1","2","561.13","(1,2)"
"576","1","1","593.56","(1,1)","2","1","581.84","(2,1)"
"577","2","1","621.07","(2,1)","2","2","607.25","(2,2)"
"578","1","1","589.69","(1,1)","1","2","577.52","(1,2)"
"579","1","1","598.12","(1,1)","2","1","587.03","(2,1)"
"580","2","0","601.56","(2,0)","2","0","591.68","(2,0)"
"581","1","2","597.93","(1,2)","2","2","583.11","(2,2)"
"582","2","0","595.97","(2,0)","2","1","585.43","(2,1)"
"583","1","2","604.86","(1,2)","2","2","591.02","(2,2)"
