titas1_500,titas2_500,titas3_500,sigma2_500,ces_500,titas1_100,titas2_100,X.titas3_100.,titas3_100,sigma2_100,ces_100
0.688929038,0.200659748,-0.292632954,0.918417265,-0.062957697,0.692606568,0.33597868,titas3_100,-0.381178381,0.806019445,0.083481417
0.760272934,0.227592248,-0.291356254,1.060006566,0.017561496,0.545794375,0.007390512,titas3_100,-0.442002392,1.068007317,0.029337175
0.688084629,0.123420842,-0.370061771,1.00238725,0.026276431,0.554069064,0.031816493,titas3_100,-0.392975775,1.061241811,0.191350467
0.791211294,0.216786874,-0.266912839,1.049166522,-0.025623857,0.711971572,0.171891701,titas3_100,-0.266939508,1.374942563,-0.085743186
0.662008849,0.148049715,-0.300829654,1.037320303,-0.013840009,0.785101206,0.335673132,titas3_100,-0.093544824,1.235050993,-0.043838626
0.65970421,0.149750589,-0.294781677,1.087002438,-0.054440198,0.648308452,0.053772831,titas3_100,-0.377810852,1.079887627,-0.300140326
0.648545345,0.226559638,-0.309937292,1.010410464,0.040596639,0.582039986,0.25970525,titas3_100,-0.403092731,1.056591563,-0.347151433
0.71300195,0.244285765,-0.275676534,1.002062569,-0.002134488,0.700275023,0.352168714,titas3_100,-0.153188482,1.006065406,0.09289747
0.688530323,0.185806392,-0.291485623,1.009184905,0.001711375,0.8423023,0.348382635,titas3_100,-0.171030212,0.869769347,-0.066634013
0.709049704,0.102664972,-0.346717861,1.017125233,-0.014748879,0.685799086,-0.146034907,titas3_100,-0.612804416,0.980941127,-0.195844287
0.689076457,0.198905471,-0.296987948,1.014608856,-0.056155074,0.54844273,-0.23515224,titas3_100,-0.651159314,0.958917417,-0.041081795
0.673260553,0.165226356,-0.314809503,0.95747739,0.066472631,0.687644489,0.272928094,titas3_100,-0.287536526,1.017175792,0.193578846
0.751176056,0.205194451,-0.321301885,1.086398277,0.007446979,0.870093898,0.263705927,titas3_100,-0.283029601,1.197565593,-0.05165547
0.677879463,0.162762741,-0.295078866,1.000614383,-0.052160012,0.600359361,0.130456642,titas3_100,-0.411157778,0.984238305,-0.308394897
0.730399235,0.238610645,-0.336638263,0.921534849,-0.017376603,0.722329441,0.310496985,titas3_100,-0.544340758,0.813636017,0.207090584
0.654884682,0.150327265,-0.280360232,1.012289114,-0.015377851,0.804990454,0.327067338,titas3_100,-0.355967368,0.786849498,0.210568177
0.714552422,0.295052098,-0.220323544,0.977030915,0.039321812,0.54932841,0.056682924,titas3_100,-0.344277908,0.989565629,0.246104409
0.704897057,0.123466644,-0.342976423,0.896339593,0.002145012,0.737684233,0.059627176,titas3_100,-0.381838138,0.939336553,-0.037572603
0.693233755,0.190638993,-0.296864371,1.019362854,0.082558517,0.623584545,0.010334444,titas3_100,-0.422208523,1.099844773,-0.164682275
0.691537497,0.26547835,-0.239337638,0.854813748,0.062856265,0.684835628,0.05433616,titas3_100,-0.461327917,1.040536106,0.143754418
0.616155119,0.059010909,-0.413003185,0.978049626,0.215135364,0.46284483,-0.088987485,titas3_100,-0.395478436,0.780376383,0.148276957
0.736716698,0.203897765,-0.323282285,0.932800522,0.004146314,0.73348263,0.244390331,titas3_100,-0.081939767,1.020227878,0.125905545
0.651980048,0.159899041,-0.288835576,1.028934088,-0.057561012,0.613709992,0.302759958,titas3_100,-0.149612162,1.040258039,-0.216322893
0.694112496,0.169622649,-0.301531056,1.034915189,-0.031739372,0.678674337,0.183594318,titas3_100,-0.311481788,0.898391747,-0.294684016
0.710069504,0.250974142,-0.278764319,0.987225764,0.086639853,0.868729632,0.360463911,titas3_100,-0.317849399,1.185046931,0.315332526
0.714678674,0.204271683,-0.266215153,1.080669373,0.051041489,0.817265052,0.289107559,titas3_100,-0.303582627,1.35278477,0.062892592
0.678282098,0.144227441,-0.326776587,1.05064624,0.047530575,0.538408866,-0.062884496,titas3_100,-0.313784482,0.948280718,0.017662949
0.613056704,0.098594198,-0.387609575,1.037148289,0.025525568,0.453123076,-0.089051819,titas3_100,-0.538909609,0.932273485,0.098385957
0.694282173,0.225112886,-0.272401908,1.02913865,-0.047920744,0.738351242,0.270269204,titas3_100,-0.287181471,1.204845492,-0.293219528
0.622699655,0.229766707,-0.342080435,0.957077568,-0.01157399,0.672389608,0.181316858,titas3_100,-0.324569229,0.894600754,-0.005046624
0.714929484,0.150302862,-0.389253318,0.93159636,0.06942975,0.827657963,0.301331914,titas3_100,-0.199204239,0.904577857,0.192945596
0.765847085,0.251486261,-0.3001678,0.91414669,-0.034253356,0.7539387,0.201036837,titas3_100,-0.297529584,0.946759448,0.197150027
0.770239168,0.293343153,-0.316024848,1.063380909,-0.093283227,0.667609818,0.056140128,titas3_100,-0.586543862,0.943916116,-0.156367731
0.684696524,0.105042532,-0.327115004,1.064000635,-0.078970213,0.541449394,0.094280947,titas3_100,-0.409899047,1.004859865,-0.080959055
0.691277566,0.183420706,-0.333914349,0.987578899,-0.001265953,0.827218597,0.411008725,titas3_100,-0.256207477,1.041129545,0.05297966
0.734272471,0.230900673,-0.307213341,1.104028228,-0.037225209,0.565226617,0.084376877,titas3_100,-0.404936081,1.232925944,0.125173523
0.690250182,0.25155934,-0.292935615,0.984970328,-0.109959361,0.559161875,0.27141212,titas3_100,-0.236893753,1.053811546,0.045686348
0.671332018,0.127242999,-0.294904543,0.977136795,0.116553182,0.757985485,0.142064443,titas3_100,-0.211181408,1.071760558,0.156141989
0.736268912,0.26803165,-0.269958481,1.033757935,0.047522614,0.793363029,0.286852011,titas3_100,-0.390359639,1.264302825,-0.153732176
0.670740732,0.206049125,-0.261369776,0.999819514,0.03444313,0.692263718,0.268993485,titas3_100,-0.201588089,1.358193243,-0.078307784
0.580045754,0.000620665,-0.408037521,0.880955438,-0.074522497,0.569586929,0.037254973,titas3_100,-0.561379737,0.849884891,-0.057705365
0.673813609,0.203877359,-0.215622164,0.932976415,0.026893195,0.634614912,0.251127341,titas3_100,-0.09999031,1.001739879,-0.036956729
0.694997095,0.206785685,-0.270714601,1.031420897,-0.006105291,0.825365281,0.30409208,titas3_100,-0.260465484,1.057741191,-0.042104994
0.675679954,0.201055567,-0.295850141,1.098561298,-0.051748364,0.763820051,0.010817344,titas3_100,-0.441331526,1.198946051,-0.459484718
0.764377221,0.28467974,-0.279473906,0.975168184,0.02396971,0.732066241,0.138596828,titas3_100,-0.390889435,0.992816628,0.131041915
0.761717827,0.286147731,-0.231958321,1.038048528,0.027109051,0.620474529,0.130549221,titas3_100,-0.373148758,1.052983019,-0.048161145
0.646787677,0.186058246,-0.279850533,1.009836431,-0.078701239,0.564972146,0.284247023,titas3_100,-0.296219769,1.045294945,-0.045267574
0.683618445,0.242283968,-0.243375819,1.047109578,-0.027245912,0.774378107,0.136608078,titas3_100,-0.207750139,0.996430771,-0.219403424
0.781024838,0.291325102,-0.211680773,1.027802805,0.078698788,0.708633762,0.143366461,titas3_100,-0.405936238,0.898988657,-0.150803004
0.735229019,0.208316439,-0.307230446,0.916756324,-0.057311002,0.670629185,0.095114719,titas3_100,-0.382792914,0.986645142,-0.180453373
0.81015369,0.257396799,-0.249880394,1.060081413,-0.00187155,0.76076125,0.199649216,titas3_100,-0.323115938,1.159180802,-0.043797281
0.755222905,0.20606969,-0.319571734,0.95133877,-0.07459219,0.777031897,0.250562725,titas3_100,-0.373288117,0.985736543,-0.141796014
0.640647997,0.198284933,-0.233426369,1.056081323,0.153292091,0.661115586,0.137448116,titas3_100,-0.220887855,1.234420186,0.314093951
0.755180952,0.2510571,-0.294535138,1.102934748,-0.175376192,0.712859708,0.168468583,titas3_100,-0.318207191,1.268841139,-0.061796357
0.673445428,0.099192083,-0.333365115,1.089240847,-0.042882281,0.825439046,0.241475322,titas3_100,-0.285674453,1.274886431,-0.310473359
0.701753534,0.235039494,-0.286720809,1.025240442,0.008743572,0.582862505,0.119727764,titas3_100,-0.290374856,1.219132956,0.186598711
0.666677581,0.214331245,-0.272736638,1.031636275,0.041488437,0.644822476,0.171624538,titas3_100,-0.197606172,0.908911325,0.060682613
0.655099769,0.219602455,-0.247487701,0.966196551,0.025331927,0.722237131,0.221212701,titas3_100,-0.29841144,1.155690147,-0.123061582
0.644671908,0.144320191,-0.394167625,1.003055667,0.10549734,0.595818807,0.020343884,titas3_100,-0.444125792,0.954712027,0.146743361
0.713691966,0.180306418,-0.292811683,0.900131747,-0.047896794,0.761067167,0.212285631,titas3_100,-0.262545466,1.077753015,0.049973125
0.709950884,0.216706088,-0.249999653,0.935210529,-0.119479811,0.645383737,0.093476687,titas3_100,-0.351575684,1.076080272,0.021009498
0.647687554,0.075954161,-0.354865159,0.926154086,-0.092706749,0.787642591,0.343968409,titas3_100,-0.280211219,1.162926748,-0.038019829
0.690432575,0.180083663,-0.313192658,0.867898445,0.00182161,0.588396123,0.075692975,titas3_100,-0.485701689,0.970613594,-0.186893246
0.726280665,0.242592378,-0.303615511,0.959507445,-0.120540155,0.724496862,0.221231071,titas3_100,-0.434612166,0.866548272,-0.226990479
0.713552615,0.272175507,-0.242887289,1.052800689,0.004564787,0.782607189,0.183151212,titas3_100,-0.317459917,1.003672376,0.133725364
0.797981041,0.288057502,-0.255993252,0.943596377,0.07259979,0.766784125,0.311342686,titas3_100,-0.30493936,1.001257336,0.166086726
0.733415937,0.197417043,-0.286907036,0.926747487,0.102073659,0.668925063,0.168717105,titas3_100,-0.302280233,0.894289636,0.218880158
0.646594118,0.128423598,-0.420036105,0.921808517,-0.08232983,0.507895772,-0.016696696,titas3_100,-0.436488634,0.790623408,-0.069841804
0.710380682,0.172434863,-0.303476435,1.002494488,-0.037403428,0.671045854,0.091714071,titas3_100,-0.236084183,1.004981241,-0.147710387
0.66691643,0.141865823,-0.335172314,0.950335909,-0.009219487,0.56553577,0.017886347,titas3_100,-0.517136712,0.919005462,0.229208493
0.75464757,0.250799884,-0.258366336,1.004619202,0.052617358,0.62567245,0.103911355,titas3_100,-0.323791633,0.794843756,0.108599763
0.699322774,0.142324027,-0.390972672,1.01762523,-0.091611201,0.606148532,0.021398623,titas3_100,-0.579259484,0.870033928,0.034840807
0.663631043,0.155129154,-0.36025773,1.110035727,0.079222039,0.694408789,0.258399959,titas3_100,-0.281660531,0.774481821,0.331215305
0.705062334,0.228745212,-0.296799689,0.875320558,0.125030617,0.822237681,0.400000465,titas3_100,-0.175720849,0.895147266,0.189711415
0.662635412,0.151662226,-0.303147111,0.929785094,-0.029483484,0.616678539,0.248400337,titas3_100,-0.114046634,0.999792416,-0.089367734
0.714687504,0.212476748,-0.340994181,1.050655576,0.034001459,0.687574291,0.279240907,titas3_100,-0.340977077,1.080953903,0.094570232
0.722197963,0.201478605,-0.289815128,1.021215919,0.018151708,0.754108509,0.201713032,titas3_100,-0.323329884,0.943646959,0.063371967
0.624358011,0.121879524,-0.315007351,0.919170004,-0.15984185,0.722659444,0.252461712,titas3_100,-0.281595177,0.779685172,-0.097492767
0.650297063,0.133046019,-0.382754105,1.045301327,0.043297277,0.599039057,0.045147459,titas3_100,-0.37042857,1.222428708,0.005148539
0.704096779,0.187252948,-0.279295965,0.87001673,0.044113304,0.699912646,0.077554172,titas3_100,-0.374356057,1.092978966,0.089152077
0.699293291,0.173446487,-0.370653173,1.091641675,-0.131729989,0.510260032,0.057688132,titas3_100,-0.264408016,1.034598117,-0.093874627
0.594046976,0.046004817,-0.377066282,0.91935174,0.041221046,0.556194493,-0.159861314,titas3_100,-0.549148311,0.911563995,-0.158012428
0.643575453,0.089647072,-0.398895291,1.033246436,-0.057392618,0.736026135,0.027180533,titas3_100,-0.507200995,0.944388472,0.038089058
0.671796346,0.177219407,-0.347753883,0.948616023,0.01828517,0.631675571,0.085815198,titas3_100,-0.341603653,1.047242345,0.030246341
0.680390371,0.154465421,-0.277120494,1.028739992,-0.162465423,0.610841532,0.148139909,titas3_100,-0.272528143,0.869063698,0.023037505
0.720424677,0.217917488,-0.279344636,1.045570585,0.017177115,0.602299971,-0.026203856,titas3_100,-0.412666664,1.070249852,0.267811321
0.654022695,0.24737603,-0.251134499,1.187336604,0.06680697,0.618662227,0.061680981,titas3_100,-0.406369385,1.204350818,0.100765453
0.699150033,0.16952652,-0.316518742,0.964939235,-0.038998244,0.620125405,0.184255514,titas3_100,-0.3788829,0.879184168,-0.011092591
0.707417971,0.178218388,-0.330891916,0.981665737,-0.030949947,0.812548325,0.299239945,titas3_100,-0.270043348,0.88051215,0.005470037
0.629150809,0.158456675,-0.352039081,0.971952901,-0.078559537,0.565029376,0.220847118,titas3_100,-0.38861895,0.907352021,-0.090218851
0.72457821,0.247964322,-0.270439302,0.941129288,-0.047504384,0.670437752,0.250776684,titas3_100,-0.229312729,0.99035009,-0.074716361
0.666111126,0.192692154,-0.250915567,1.185607049,-0.078273995,0.560838814,0.215300781,titas3_100,-0.248064041,1.51078125,-0.216969043
0.7244149,0.277988527,-0.195868652,1.004274887,0.03961915,0.720972253,0.23961815,titas3_100,-0.244305033,0.925035835,-0.088306228
0.734084206,0.207699703,-0.328218856,0.989935282,-0.039071766,0.822258181,0.469442884,titas3_100,-0.232439224,0.971265759,0.169376624
0.651716815,0.16684296,-0.385053913,0.901255845,0.084414483,0.705039553,0.143189113,titas3_100,-0.502013149,1.120358194,0.273741588
0.676961197,0.17429346,-0.299958216,0.933842265,-0.011263603,0.736885891,0.319440188,titas3_100,-0.3667892,0.869223182,-0.116733362
0.689972127,0.242903595,-0.316959521,0.953926845,0.003318319,0.630283267,0.136885086,titas3_100,-0.456973219,1.066117852,0.123989285
0.725803734,0.238381321,-0.286214951,0.998111056,0.019076504,0.787413314,0.377433878,titas3_100,-0.185162568,0.744063249,0.102866099
0.747419324,0.213058296,-0.25795084,1.004764713,-0.093551896,0.946211623,0.261672324,titas3_100,-0.212154821,0.98781499,-0.271237207
0.717973905,0.238880345,-0.289192443,0.893690286,-0.064307273,0.801179095,0.182225462,titas3_100,-0.339139627,0.990601309,-0.094131815
0.719176166,0.256284634,-0.197460405,1.066442239,0.020699725,0.727301259,0.277566292,titas3_100,-0.231565529,1.134188847,0.106419876
0.749640546,0.255156053,-0.241590961,0.967649689,-0.044203072,0.75901357,0.394593521,titas3_100,-0.289841319,0.977112936,-0.035230781
0.711174266,0.204182933,-0.311932636,1.0933698,-0.044945653,0.75805584,0.262535105,titas3_100,-0.350692444,0.994326812,-0.129675489
0.711185866,0.248974492,-0.29796843,1.068748248,-0.051882277,0.675230913,0.165918841,titas3_100,-0.249387276,1.010709994,-0.245744642
0.735493772,0.155190535,-0.303044466,0.90446468,-0.000533242,0.732824669,0.243989762,titas3_100,-0.31090147,0.806268874,0.001802149
0.628505554,0.144804573,-0.330579217,1.083514055,-0.013635832,0.575269254,0.163037545,titas3_100,-0.264178069,1.134468916,-0.195624774
0.663273121,0.096720971,-0.330060352,0.986804552,-0.045706119,0.700032692,0.0174613,titas3_100,-0.434360721,0.997143562,-0.015814971
0.64451388,0.047731234,-0.370893302,0.924228644,-0.0405662,0.528535153,-0.051988227,titas3_100,-0.456807872,0.903752006,-0.118647433
0.697967548,0.120440622,-0.363968946,1.078392258,-0.028580256,0.937444502,0.351484825,titas3_100,-0.333118832,1.050396863,-0.018334235
0.767929091,0.262856734,-0.291159092,1.018462673,-0.026851378,0.587647311,0.178085017,titas3_100,-0.339951107,1.183308915,-0.174111743
0.660067783,0.178251148,-0.295343085,1.040819846,0.086981061,0.666476153,0.181850755,titas3_100,-0.243310891,1.057628294,-0.038029996
0.658371261,0.159972469,-0.336553782,0.941815664,0.089381829,0.605579446,0.104998344,titas3_100,-0.690519718,0.856949143,0.100462543
0.741025271,0.295202277,-0.209033337,1.028378663,-0.099114774,0.788570543,0.274438554,titas3_100,-0.179839598,0.810191699,-0.204143143
0.695580738,0.198807861,-0.323917505,0.861601363,-0.039380185,0.584084624,0.250759609,titas3_100,-0.258314527,0.785902479,-0.232457936
0.733410321,0.185558044,-0.257293302,0.881626223,0.010542583,0.720681188,0.220625248,titas3_100,-0.312111158,1.014796395,0.092824685
0.674573498,0.176607145,-0.322562206,1.029725485,0.060991567,0.517778909,0.148135699,titas3_100,-0.253402045,1.041874557,0.005593104
0.699316749,0.207818051,-0.294663055,1.002245211,-0.217226439,0.67034008,0.076816455,titas3_100,-0.470284607,1.268620246,0.033072064
0.641524939,0.191107452,-0.233010015,0.904048771,0.03824112,0.838548946,0.36854775,titas3_100,-0.10102273,0.954916814,-0.015379651
0.716325723,0.202113993,-0.343853114,1.06783591,0.055300788,0.719951369,0.305329069,titas3_100,-0.270322181,1.266455876,0.237180621
0.672047597,0.189227747,-0.292278457,1.009930118,-0.008775494,0.70441506,0.16797563,titas3_100,-0.383142038,0.980912006,-0.035180426
0.695861225,0.263019674,-0.323253093,0.982367698,0.063860838,0.69776435,0.357744779,titas3_100,-0.198139116,1.07731807,-0.05772049
0.644306832,0.179252399,-0.311575228,0.948576025,-0.040678087,0.574634184,0.000336809,titas3_100,-0.3719055,0.987059894,-0.048382564
0.69385456,0.20948821,-0.323211216,1.024524875,0.005419325,0.693440632,0.231745973,titas3_100,-0.343845941,1.026602089,-0.077847578
0.613890126,0.14309617,-0.319648346,0.948045163,0.042428315,0.706888246,0.275092055,titas3_100,-0.404676647,0.887808542,0.134551806
0.670070222,0.143178598,-0.376849445,0.920643626,0.022900299,0.602172823,0.170669837,titas3_100,-0.367782159,1.013315999,0.005928982
0.712488262,0.208966682,-0.285050523,0.931726125,-0.004013472,0.772667782,0.131056738,titas3_100,-0.459658739,0.972320304,-0.100311496
0.667465052,0.175023675,-0.327020319,1.005153893,0.086234521,0.76896203,0.221010719,titas3_100,-0.304843015,0.685889329,0.012932056
0.635084113,0.195210935,-0.288109126,0.987077198,0.018398588,0.755037308,0.396312823,titas3_100,-0.149791198,0.914006557,-0.115923374
0.725134283,0.200028667,-0.296930593,1.024983195,-0.101743302,0.709974431,0.152706318,titas3_100,-0.340853211,1.461877762,-0.301721008
0.666958885,0.181558804,-0.366311258,1.004447966,-0.044314504,0.75559955,0.3909248,titas3_100,-0.489266595,0.973248699,-0.169866734
0.74613248,0.253929554,-0.230516764,0.966897006,-0.085721685,0.703962271,0.285870881,titas3_100,-0.186129801,1.187080695,-0.046620907
0.67611307,0.225701398,-0.277876724,0.995450904,0.107568532,0.597549505,0.138755657,titas3_100,-0.434224765,0.855603668,-0.184037177
0.689467771,0.218936201,-0.307263781,0.930361773,0.057952655,0.682092715,0.238009386,titas3_100,-0.326391519,1.019040305,0.172092781
0.701616582,0.211585711,-0.293555153,1.045581272,-0.059483331,0.657259522,0.138652845,titas3_100,-0.427115444,1.078227578,0.302992556
0.684456925,0.257134757,-0.255924945,0.991787734,-0.091050472,0.747271207,0.109311716,titas3_100,-0.389471763,0.873251399,-0.143223513
0.694973423,0.184094723,-0.278676521,1.072689224,-0.042993652,0.749228841,0.211548105,titas3_100,-0.386837958,1.147192938,0.065208837
0.765502535,0.257926974,-0.284103523,0.92021797,-0.003412733,0.782247807,0.234429534,titas3_100,-0.246170691,0.791621667,-0.00248948
0.703185223,0.221124333,-0.27396941,1.041997507,-0.008103642,0.623877304,0.149854417,titas3_100,-0.314100072,1.160602656,-0.25076989
0.684591174,0.183290781,-0.30094935,0.980040132,-0.1058608,0.586585808,0.292701571,titas3_100,-0.245003087,1.110545803,-0.108521588
0.70413581,0.238493366,-0.218732373,1.174768302,-0.049352802,0.384947057,-0.17260933,titas3_100,-0.46908461,1.199393481,-0.240139806
0.722714569,0.234321224,-0.332687008,0.980521969,0.089157924,0.870096792,0.319261942,titas3_100,-0.341426361,1.065831231,0.035953154
0.72584066,0.132943709,-0.307644672,1.100255303,-0.073296325,0.765041595,0.132586579,titas3_100,-0.330858183,1.281524713,0.017476266
0.718807769,0.200741043,-0.330396402,1.039485682,-0.024688366,0.737820544,0.342004241,titas3_100,-0.29652049,1.02244897,0.092522364
0.678672001,0.185525819,-0.290379391,0.946319514,-0.009951923,0.536552176,0.20584181,titas3_100,-0.41508629,0.811571497,0.157111411
0.641726053,0.152907767,-0.384029525,0.917579854,0.012077034,0.541011871,0.067551679,titas3_100,-0.453984629,1.017832074,-0.072322477
0.66512975,0.088472253,-0.316846859,1.034634654,0.030803542,0.509718972,-0.119647954,titas3_100,-0.502483164,1.155690569,-0.034801541
