"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","1","2","585.22","(1,2)","1","2","568.72","(1,2)"
"2","2","2","625.64","(2,2)","2","2","605.85","(2,2)"
"3","2","2","617.82","(2,2)","2","2","598.03","(2,2)"
"4","1","2","575.64","(1,2)","1","2","559.15","(1,2)"
"5","2","0","624.81","(2,0)","2","2","610.93","(2,2)"
"6","1","2","581.78","(1,2)","1","2","565.29","(1,2)"
"7","1","2","617.79","(1,2)","1","2","601.3","(1,2)"
"8","1","2","592.98","(1,2)","1","2","576.49","(1,2)"
"9","2","0","596.91","(2,0)","2","2","582.86","(2,2)"
"10","2","0","621.01","(2,0)","2","2","604.52","(2,2)"
"11","1","2","579.33","(1,2)","1","2","562.84","(1,2)"
"12","2","0","589.88","(2,0)","2","2","576.38","(2,2)"
"13","2","2","618.04","(2,2)","2","2","598.25","(2,2)"
"14","1","2","605.42","(1,2)","2","2","588.64","(2,2)"
"15","1","1","591.17","(1,1)","1","2","576.74","(1,2)"
"16","1","2","593.22","(1,2)","1","2","576.73","(1,2)"
"17","2","0","580.23","(2,0)","2","0","567.04","(2,0)"
"18","2","0","604.01","(2,0)","2","1","590.81","(2,1)"
"19","2","0","592.06","(2,0)","2","0","578.87","(2,0)"
"20","2","2","601.91","(2,2)","2","2","582.12","(2,2)"
"21","2","0","601.48","(2,0)","1","2","586.49","(1,2)"
"22","1","2","581.9","(1,2)","1","2","565.41","(1,2)"
"23","2","2","612.26","(2,2)","2","2","592.47","(2,2)"
"24","2","0","570.1","(2,0)","2","2","556.68","(2,2)"
"25","1","2","572.71","(1,2)","1","2","556.22","(1,2)"
"26","2","0","611.26","(2,0)","2","2","592.59","(2,2)"
"27","2","2","583.86","(2,2)","2","2","564.07","(2,2)"
"28","1","2","589.73","(1,2)","1","2","573.24","(1,2)"
"29","2","1","583.61","(2,1)","2","2","566.03","(2,2)"
"30","2","2","597.58","(2,2)","2","2","577.79","(2,2)"
"31","2","0","640.64","(2,0)","2","2","622.03","(2,2)"
"32","1","2","604.95","(1,2)","1","2","588.46","(1,2)"
"33","2","0","598.74","(2,0)","1","2","583.08","(1,2)"
"34","2","0","608.18","(2,0)","2","2","588.8","(2,2)"
"35","1","2","549.55","(1,2)","1","2","533.06","(1,2)"
"36","2","1","604.25","(2,1)","2","2","586.77","(2,2)"
"37","2","0","625.47","(2,0)","2","2","610.16","(2,2)"
"38","2","0","554.89","(2,0)","2","1","540.7","(2,1)"
"39","1","2","587.2","(1,2)","1","2","570.71","(1,2)"
"40","2","0","604.7","(2,0)","2","0","591.51","(2,0)"
"41","1","2","609.88","(1,2)","2","2","590.59","(2,2)"
"42","2","0","560.7","(2,0)","2","0","547.51","(2,0)"
"43","2","0","582.73","(2,0)","2","0","569.54","(2,0)"
"44","2","2","596.84","(2,2)","2","2","577.05","(2,2)"
"45","2","0","589.94","(2,0)","1","2","575.67","(1,2)"
"46","2","0","611.23","(2,0)","2","2","594.7","(2,2)"
"47","1","2","565.67","(1,2)","1","2","549.18","(1,2)"
"48","2","0","551.14","(2,0)","2","2","534.12","(2,2)"
"49","2","2","554.89","(2,2)","2","2","535.1","(2,2)"
"50","1","2","575.48","(1,2)","2","2","558.78","(2,2)"
"51","2","0","573.01","(2,0)","2","1","559.75","(2,1)"
"52","2","0","596.23","(2,0)","2","2","581.5","(2,2)"
"53","2","0","546.77","(2,0)","2","0","533.57","(2,0)"
"54","2","0","598.99","(2,0)","2","0","585.8","(2,0)"
"55","1","2","627.28","(1,2)","2","2","610.01","(2,2)"
"56","2","2","598.72","(2,2)","2","2","578.93","(2,2)"
"57","2","0","579.55","(2,0)","2","0","566.36","(2,0)"
"58","2","0","611.12","(2,0)","1","2","596.45","(1,2)"
"59","2","2","619.23","(2,2)","2","2","599.44","(2,2)"
"60","2","0","575.49","(2,0)","2","1","560.48","(2,1)"
"61","2","0","589.1","(2,0)","2","2","569.7","(2,2)"
"62","1","2","563.47","(1,2)","1","2","546.98","(1,2)"
"63","1","2","585.56","(1,2)","1","2","569.07","(1,2)"
"64","2","2","592.01","(2,2)","2","2","572.22","(2,2)"
"65","1","2","548.73","(1,2)","1","2","532.24","(1,2)"
"66","2","0","596.48","(2,0)","2","2","583.13","(2,2)"
"67","1","2","624.57","(1,2)","1","2","608.08","(1,2)"
"68","2","0","608.98","(2,0)","2","2","591.01","(2,2)"
"69","2","0","588.67","(2,0)","2","1","575.11","(2,1)"
"70","2","2","599.59","(2,2)","2","2","579.8","(2,2)"
"71","1","2","594.76","(1,2)","1","2","578.27","(1,2)"
"72","2","0","551.32","(2,0)","1","2","535.12","(1,2)"
"73","2","0","582.88","(2,0)","1","2","568.31","(1,2)"
"74","2","0","615.47","(2,0)","1","2","600.79","(1,2)"
"75","2","0","602.79","(2,0)","1","2","587.56","(1,2)"
"76","2","2","593.61","(2,2)","2","2","573.82","(2,2)"
"77","1","2","583.5","(1,2)","1","2","567","(1,2)"
"78","1","2","605.5","(1,2)","1","2","589.01","(1,2)"
"79","2","2","573.3","(2,2)","2","2","553.51","(2,2)"
"80","2","2","623.5","(2,2)","2","2","603.71","(2,2)"
"81","1","2","554.5","(1,2)","1","2","538.01","(1,2)"
"82","2","0","601.67","(2,0)","2","0","588.47","(2,0)"
"83","2","2","592.69","(2,2)","2","2","572.9","(2,2)"
"84","2","2","585.22","(2,2)","2","2","565.43","(2,2)"
"85","2","0","598.33","(2,0)","2","1","584.7","(2,1)"
"86","1","2","606.14","(1,2)","1","2","589.65","(1,2)"
"87","2","0","560.84","(2,0)","2","0","547.65","(2,0)"
"88","2","1","591.69","(2,1)","2","1","575.2","(2,1)"
"89","2","2","631.11","(2,2)","2","2","611.32","(2,2)"
"90","2","0","618.51","(2,0)","1","2","603.02","(1,2)"
"91","2","2","581.85","(2,2)","2","2","562.06","(2,2)"
"92","2","2","585.7","(2,2)","2","2","565.91","(2,2)"
"93","1","2","607.55","(1,2)","2","2","590.67","(2,2)"
"94","2","1","594.56","(2,1)","2","2","575.79","(2,2)"
"95","2","0","603.61","(2,0)","2","0","590.41","(2,0)"
"96","2","0","582.55","(2,0)","1","2","568.52","(1,2)"
"97","1","2","545.72","(1,2)","1","2","529.23","(1,2)"
"98","1","2","593.13","(1,2)","1","2","576.64","(1,2)"
"99","2","0","569.48","(2,0)","2","2","553.87","(2,2)"
"100","2","0","576.39","(2,0)","2","2","559.51","(2,2)"
"101","2","0","558.07","(2,0)","2","0","544.88","(2,0)"
"102","2","0","598.01","(2,0)","2","2","581.71","(2,2)"
"103","2","0","640.68","(2,0)","2","0","627.49","(2,0)"
"104","2","0","605.39","(2,0)","2","2","589.14","(2,2)"
"105","1","2","556.94","(1,2)","1","2","540.45","(1,2)"
"106","1","2","594","(1,2)","1","2","577.51","(1,2)"
"107","2","0","599.31","(2,0)","2","0","586.12","(2,0)"
